path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_32deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=11, tm_sec=45, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.84000000000003
live_time	307.3

Channel	Counts
0	0
1	2
2	2
3	0
4	0
5	0
6	0
7	0
8	318
9	467
10	1323
11	1607
12	1553
13	1530
14	1641
15	1757
16	1861
17	1888
18	1952
19	1938
20	1806
21	1752
22	1679
23	1713
24	1677
25	1719
26	1747
27	1851
28	1876
29	1981
30	2331
31	2803
32	3056
33	3673
34	4247
35	4872
36	4960
37	5067
38	4797
39	4410
40	3919
41	3573
42	3244
43	3188
44	2970
45	2715
46	2534
47	2332
48	2096
49	2036
50	1946
51	1988
52	2036
53	2040
54	1979
55	2077
56	2121
57	2110
58	2155
59	2265
60	2187
61	2181
62	2190
63	2170
64	2161
65	2277
66	2165
67	2241
68	2157
69	2166
70	2116
71	2204
72	2165
73	2083
74	2232
75	2109
76	2183
77	2164
78	2175
79	2295
80	2284
81	2250
82	2349
83	2343
84	2359
85	2456
86	2471
87	2567
88	2501
89	2589
90	2694
91	2547
92	2791
93	2701
94	2784
95	2814
96	2834
97	2760
98	2812
99	2754
100	2709
101	2646
102	2584
103	2534
104	2338
105	2390
106	2334
107	2200
108	2166
109	2010
110	2081
111	2111
112	1978
113	1981
114	1878
115	1897
116	1859
117	1899
118	1811
119	1839
120	1815
121	1727
122	1705
123	1719
124	1739
125	1666
126	1633
127	1707
128	1691
129	1666
130	1633
131	1615
132	1660
133	1587
134	1647
135	1630
136	1563
137	1600
138	1546
139	1660
140	1517
141	1602
142	1574
143	1621
144	1513
145	1503
146	1493
147	1508
148	1556
149	1571
150	1484
151	1492
152	1519
153	1494
154	1546
155	1523
156	1476
157	1530
158	1531
159	1561
160	1432
161	1411
162	1473
163	1492
164	1433
165	1360
166	1428
167	1488
168	1441
169	1414
170	1463
171	1442
172	1467
173	1499
174	1495
175	1477
176	1396
177	1389
178	1416
179	1392
180	1474
181	1464
182	1493
183	1495
184	1367
185	1461
186	1444
187	1405
188	1342
189	1458
190	1337
191	1368
192	1358
193	1373
194	1387
195	1399
196	1376
197	1415
198	1379
199	1505
200	1314
201	1382
202	1331
203	1383
204	1355
205	1426
206	1398
207	1493
208	1376
209	1374
210	1325
211	1416
212	1411
213	1346
214	1354
215	1371
216	1334
