path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_15deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=3, tm_mday=27, tm_hour=14, tm_min=21, tm_sec=47, tm_wday=2, tm_yday=86, tm_isdst=-1)
real_time	401.2
live_time	234.3

Channel	Counts
0	0
1	4
2	6
3	0
4	0
5	0
6	0
7	4
8	924
9	1279
10	3778
11	4391
12	4362
13	4457
14	4924
15	5332
16	5964
17	6204
18	6370
19	6091
20	5589
21	5246
22	4998
23	4867
24	4794
25	5073
26	4917
27	5030
28	5577
29	6450
30	7806
31	10187
32	12447
33	15247
34	18269
35	20148
36	20582
37	19737
38	17825
39	15904
40	13680
41	11910
42	10728
43	9930
44	8670
45	7599
46	6448
47	5809
48	4908
49	4475
50	4301
51	4454
52	4227
53	4206
54	4243
55	4384
56	4421
57	4401
58	4508
59	4550
60	4579
61	4610
62	4538
63	4805
64	4641
65	4606
66	4617
67	4607
68	4488
69	4621
70	4550
71	4672
72	4608
73	4598
74	4627
75	4710
76	4690
77	4814
78	4755
79	4775
80	4856
81	4747
82	5127
83	5056
84	5098
85	5186
86	5349
87	5362
88	5499
89	5540
90	5515
91	5653
92	5717
93	5768
94	5875
95	6108
96	5937
97	5931
98	5871
99	6037
100	5893
101	5792
102	5702
103	5916
104	5737
105	5614
106	5459
107	5411
108	5424
109	5463
110	5324
111	5453
112	5292
113	5266
114	5118
115	5193
116	5173
117	5015
118	4944
119	5127
120	5010
121	5155
122	4990
123	4865
124	4912
125	4984
126	4840
127	5057
128	4894
129	4740
130	4822
131	4793
132	4661
133	4720
134	4702
135	4848
136	4741
137	4693
138	4626
139	4602
140	4575
141	4666
142	4652
143	4576
144	4632
145	4580
146	4563
147	4500
148	4604
149	4488
150	4506
151	4593
152	4419
153	4419
154	4460
155	4439
156	4399
157	4337
158	4377
159	4416
160	4372
161	4375
162	4290
163	4310
164	4279
165	4261
166	4182
167	4388
168	4523
169	4365
170	4247
171	4312
172	4331
173	4394
174	4232
175	4475
176	4208
177	4300
178	4297
179	4239
180	4246
181	4063
182	4259
183	4273
184	4258
185	4296
186	4170
187	4302
188	4200
189	4269
190	4257
191	4299
192	4277
193	4294
194	4229
195	4353
196	4347
197	4241
198	4131
199	4447
200	4403
201	4134
202	4178
203	4241
204	4279
205	4316
206	4280
207	4301
208	4310
209	4284
210	4408
211	4203
212	4360
213	4305
214	4280
215	4489
216	4304
217	4491
218	4288
219	4303
220	4464
221	4454
222	4444
223	4556
224	4405
225	4421
226	4425
227	4422
228	4440
229	4345
230	4332
231	4496
232	4428
233	4403
234	4316
235	4409
236	4286
237	4436
238	4291
239	4362
240	4326
241	4362
242	4293
243	4212
244	4216
245	4267
246	4125
247	4154
248	4153
249	4136
250	4209
251	3983
252	3923
253	4071
254	3868
255	4002
256	3977
257	3873
258	3800
259	3818
260	3689
261	3669
262	3639
263	3646
264	3598
265	3570
266	3469
267	3484
268	3556
269	3543
270	3467
271	3479
272	3372
273	3266
274	3383
275	3480
276	3227
277	3290
278	3274
279	3272
280	3030
281	3086
282	3054
283	2993
284	2979
285	2942
286	2873
287	2885
288	2864
289	2812
290	2818
291	2741
292	2741
293	2597
294	2728
295	2646
296	2562
297	2460
298	2466
299	2384
300	2292
301	2399
302	2337
303	2292
304	2261
305	2248
306	2128
307	2199
308	2106
309	2120
310	1984
311	2007
312	1900
313	1925
314	1848
315	1778
316	1822
317	1810
318	1769
319	1819
320	1663
321	1717
322	1599
323	1716
324	1621
