path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_37deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=34, tm_sec=41, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.64
live_time	339.96

Channel	Counts
0	0
1	1
2	0
3	0
4	0
5	0
6	0
7	0
8	138
9	219
10	664
11	770
12	798
13	821
14	879
15	907
16	908
17	937
18	1036
19	1026
20	991
21	948
22	946
23	927
24	942
25	948
26	1003
27	1046
28	1057
29	1167
30	1368
31	1541
32	1838
33	2070
34	2307
35	2723
36	2797
37	2832
38	2762
39	2533
40	2297
41	2072
42	1865
43	1782
44	1702
45	1502
46	1392
47	1304
48	1267
49	1205
50	1182
51	1178
52	1218
53	1194
54	1240
55	1198
56	1171
57	1254
58	1226
59	1259
60	1225
61	1294
62	1308
63	1225
64	1215
65	1231
66	1248
67	1245
68	1233
69	1258
70	1211
71	1234
72	1177
73	1248
74	1254
75	1287
76	1289
77	1294
78	1316
79	1310
80	1400
81	1293
82	1306
83	1405
84	1379
85	1408
86	1472
87	1497
88	1510
89	1558
90	1627
91	1542
92	1613
93	1691
94	1656
95	1735
96	1686
97	1710
98	1671
99	1609
100	1516
101	1620
102	1499
103	1463
104	1399
105	1374
106	1244
107	1224
108	1174
109	1137
110	1056
111	1128
112	1002
113	988
114	994
115	924
116	934
117	900
118	918
119	888
120	924
121	890
122	858
123	896
124	864
125	837
126	850
127	844
128	829
129	811
130	771
131	828
132	772
133	747
134	748
135	769
136	745
137	780
138	719
139	746
140	758
141	798
142	766
143	810
144	778
145	732
146	763
147	751
148	731
149	728
150	692
151	777
152	725
153	682
154	715
155	753
156	706
157	765
158	769
159	765
160	736
161	722
162	693
163	754
164	681
165	727
166	758
167	732
168	678
169	768
170	687
171	699
172	673
173	718
174	720
175	709
176	699
177	727
178	680
179	709
180	675
181	639
182	701
183	717
184	693
185	757
186	715
187	712
188	722
189	717
190	705
191	699
192	715
193	741
194	698
195	702
196	702
197	735
198	716
199	682
200	713
201	667
202	683
203	739
204	730
205	689
206	676
207	739
208	666
209	671
210	701
211	665
212	707
213	713
214	690
215	735
216	719
217	715
218	691
219	705
220	714
221	759
222	747
223	745
224	769
225	694
226	730
227	726
228	701
229	719
230	712
231	696
232	666
233	671
234	744
235	754
236	704
237	690
238	684
239	701
240	709
241	756
242	711
243	743
244	709
245	676
246	701
247	648
248	663
249	641
250	618
251	664
252	629
253	575
254	632
255	621
256	612
257	621
258	601
259	587
260	568
261	622
262	584
263	562
264	550
265	551
266	549
267	559
268	539
269	536
270	505
271	550
272	494
273	486
274	461
275	489
276	475
277	486
278	482
279	492
280	525
281	524
282	511
283	510
284	503
285	493
286	511
287	529
288	548
289	512
290	479
291	509
292	504
293	568
294	498
295	525
296	533
297	573
298	542
299	564
300	543
301	570
302	546
303	608
304	610
305	568
306	585
307	615
308	636
309	650
310	591
311	651
312	663
313	731
314	715
315	688
316	760
317	775
318	769
319	732
320	748
321	770
322	867
323	889
324	885
325	924
326	920
327	945
328	919
329	998
330	1060
331	1042
332	1039
333	1195
334	1085
335	1174
336	1148
337	1159
338	1174
339	1139
340	1207
341	1201
342	1197
343	1279
344	1194
345	1187
346	1125
347	1147
348	1175
349	1150
350	1129
351	1170
352	1105
353	1086
354	1114
355	1056
356	1126
357	958
358	983
359	961
360	880
361	888
362	874
363	797
364	794
365	704
366	691
367	672
368	640
369	639
370	609
371	565
372	476
373	500
374	449
375	448
376	346
377	342
378	307
379	280
380	272
381	230
382	207
383	184
384	142
385	145
386	118
387	120
388	92
389	78
390	82
391	64
392	54
393	56
394	36
395	38
396	26
397	30
398	19
399	14
400	21
401	11
402	13
403	7
404	8
405	10
406	6
407	8
408	6
409	7
410	4
411	6
412	4
413	1
414	4
415	9
416	4
417	4
418	8
419	7
420	3
421	5
422	8
423	7
424	9
425	5
426	6
427	2
428	4
429	5
430	3
431	4
432	4
433	3
434	2
435	4
436	10
437	10
438	5
439	3
440	0
441	4
442	7
443	4
444	4
445	4
446	3
447	3
448	3
449	3
450	5
451	4
452	9
453	4
454	7
455	4
456	5
457	7
458	5
459	8
460	3
461	6
462	4
463	3
464	5
465	5
466	6
467	7
468	3
469	2
470	7
471	5
472	6
473	4
474	3
475	9
476	2
477	2
478	3
479	2
480	9
481	7
482	1
483	5
484	6
485	2
486	4
487	5
488	10
489	4
490	3
491	1
492	3
493	3
494	8
495	5
496	4
497	5
498	7
499	7
500	7
501	3
502	3
503	7
504	8
505	4
506	2
507	1
508	6
509	7
510	4
511	6
512	2
513	3
514	10
515	5
516	3
517	1
518	4
519	3
520	3
521	3
522	8
523	3
524	6
525	2
526	6
527	3
528	3
529	10
530	2
531	4
532	5
533	4
534	7
535	2
536	5
537	2
538	5
539	6
540	4
541	8
542	3
543	1
544	5
545	1
546	6
547	1
548	2
549	0
550	5
551	1
552	4
553	3
554	2
555	1
556	0
557	4
558	4
559	2
560	4
561	2
562	5
563	1
564	2
565	6
566	5
567	4
568	1
569	4
