path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_27deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=3, tm_sec=32, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.68
live_time	244.3

Channel	Counts
0	0
1	3
2	3
3	0
4	0
5	0
6	0
7	1
8	602
9	877
10	2479
11	3064
12	2974
13	3057
14	3126
15	3379
16	3589
17	3595
18	3759
19	3830
20	3510
21	3251
22	3280
23	3317
24	3188
25	3315
26	3279
27	3324
28	3663
29	3881
30	4321
31	5023
32	5912
33	6981
34	8007
35	8678
36	9255
37	9102
38	8633
39	7988
40	7228
41	6329
42	5956
43	5623
44	5231
45	4807
46	4297
47	4018
48	3779
49	3478
50	3439
51	3483
52	3502
53	3533
54	3410
55	3570
56	3578
57	3588
58	3653
59	3588
60	3716
61	3728
62	3682
63	3779
64	3836
65	3678
66	3730
67	3817
68	3735
69	3779
70	3891
71	3786
72	3760
73	3883
74	3790
75	3863
76	3880
77	3851
78	3763
79	4024
80	3890
81	3866
82	3982
83	4147
84	4164
85	4087
86	4163
87	4392
88	4322
89	4484
90	4604
91	4543
92	4753
93	4581
94	4707
95	4783
96	4725
97	4828
98	4722
99	4697
100	4745
101	4779
102	4514
103	4588
104	4472
105	4362
106	4293
107	4196
108	4205
109	4143
110	4048
111	4178
112	3868
113	4046
114	3872
115	3923
116	3845
117	3874
118	3794
119	3707
120	3792
121	3737
122	3712
123	3553
124	3673
125	3598
126	3599
127	3792
128	3490
129	3523
130	3542
131	3544
132	3386
133	3555
134	3453
135	3537
136	3375
137	3480
138	3344
139	3399
140	3337
141	3247
142	3255
143	3317
144	3354
145	3129
146	3315
147	3312
148	3243
149	3267
150	3125
151	3349
152	3219
153	3161
154	3117
155	3125
156	3148
157	3263
158	3147
159	3210
160	3070
161	3199
162	3066
163	3083
164	3034
165	3102
166	3016
167	3150
168	2989
169	3110
170	2969
171	3088
172	2988
173	2996
174	3024
175	3139
176	2968
177	2923
178	2987
179	2997
180	3017
181	2952
182	3007
183	3076
184	2953
185	2800
186	2987
187	3028
188	2891
189	2963
190	3031
191	3015
192	2889
193	2972
194	2892
195	2967
196	2855
197	2995
198	2923
199	2969
200	2928
201	2979
202	2904
203	2973
204	2924
205	2966
206	2952
207	3032
208	2980
209	2950
210	2945
211	3003
212	2939
213	2991
214	2961
215	3047
216	3031
217	2869
218	2891
219	2982
220	2949
221	3048
222	2987
223	2947
224	2940
225	2996
226	2965
227	2973
228	2943
229	3019
230	3005
231	3004
232	2996
233	3053
234	3052
235	2921
236	2924
237	2909
238	3001
239	3056
240	3026
241	2945
242	3064
243	3000
244	2982
245	2974
246	2958
247	3066
248	2975
249	2944
250	3026
251	2964
252	2901
253	2939
254	2894
255	3004
256	2766
257	2900
258	2796
259	2869
260	2756
261	2784
262	2708
263	2766
264	2779
265	2582
266	2707
267	2587
268	2652
269	2619
270	2577
271	2617
272	2547
273	2566
274	2569
275	2558
276	2507
277	2414
278	2578
279	2446
280	2425
281	2498
282	2371
283	2428
284	2352
285	2329
286	2351
287	2395
288	2414
289	2330
290	2344
291	2395
292	2347
293	2436
294	2392
295	2401
296	2321
297	2379
298	2296
299	2415
300	2335
301	2363
302	2355
303	2296
304	2417
305	2402
306	2413
307	2343
308	2482
309	2513
310	2465
311	2504
312	2462
313	2471
314	2405
315	2627
316	2524
317	2566
318	2618
319	2646
320	2598
321	2641
322	2745
323	2677
324	2671
325	2657
326	2593
327	2721
328	2769
329	2739
330	2720
331	2773
332	2766
333	2754
334	2726
335	2770
336	2791
337	2856
338	2827
339	3005
340	2914
341	2905
342	3017
343	3155
344	3142
345	3179
346	3274
347	3471
348	3539
349	3524
350	3592
351	3773
352	3792
353	3906
354	3907
355	4116
356	4079
357	4181
358	4253
359	4313
360	4377
361	4391
362	4370
363	4442
364	4361
365	4436
366	4275
367	4410
368	4215
369	4059
370	3936
371	3877
372	3760
373	3602
374	3370
375	3226
376	3125
377	2879
378	2614
379	2572
380	2353
381	2125
382	1950
383	1780
384	1525
385	1397
386	1214
387	1083
388	925
389	824
390	746
391	611
392	562
393	435
394	376
395	373
396	244
397	220
398	187
399	152
400	133
401	123
402	86
403	66
404	67
405	52
406	33
407	35
408	20
409	27
410	16
411	17
412	6
413	16
414	10
415	15
416	9
417	11
418	9
419	9
