path	'C:/Users/aorfi/Documents/GitHub/Phys359/Compton Scattering/2brick.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=1, tm_hour=15, tm_min=5, tm_sec=43, tm_wday=0, tm_yday=91, tm_isdst=-1)
real_time	406.12
live_time	150.6

Channel	Counts
0	0
1	32
2	36
3	0
4	0
5	0
6	0
7	6
8	1626
9	2275
10	6764
11	8241
12	8022
13	8008
14	8192
15	8720
16	8821
17	8920
18	8929
19	9049
20	8910
21	8714
22	8401
23	8654
24	8568
25	8637
26	8740
27	9029
28	9320
29	9984
30	10479
31	11483
32	12682
33	13822
34	15240
35	16185
36	16248
37	16030
38	15548
39	14800
40	13861
41	13674
42	13033
43	13047
44	12402
45	12309
46	11874
47	12072
48	11575
49	11713
50	11684
51	12075
52	12181
53	12372
54	12224
55	12592
56	12572
57	12542
58	12590
59	12680
60	12646
61	12335
62	12322
63	12577
64	12114
65	12214
66	11904
67	12031
68	11677
69	11638
70	11787
71	11608
72	11488
73	11297
74	11285
75	11331
76	11112
77	11174
78	11226
79	11410
80	11187
81	10975
82	11069
83	11056
84	10812
85	11038
86	10888
87	11031
88	11084
89	11058
90	10998
91	11027
92	11214
93	11423
94	11272
95	11400
96	11333
97	11228
98	11375
99	11277
100	11253
101	11215
102	11045
103	11531
104	11193
105	10890
106	10933
107	10962
108	10815
109	10819
110	10726
111	10685
112	10607
113	10506
114	10394
115	10424
116	10225
117	10180
118	10090
119	10334
120	10192
121	9952
122	9928
123	10018
124	9753
125	9627
126	9714
127	9965
128	9696
129	9739
130	9577
131	9626
132	9387
133	9410
134	9255
135	9537
136	9242
137	9403
138	9316
139	9347
140	9285
141	9306
142	9052
143	9217
144	8997
145	9053
146	9019
147	9094
148	8850
149	8916
150	8934
151	8949
152	8978
153	8832
154	8722
155	8885
156	8633
157	8772
158	8711
159	8862
160	8701
161	8613
162	8700
163	8595
164	8622
165	8548
166	8598
167	8810
168	8561
169	8444
170	8543
171	8770
172	8713
173	8607
174	8347
175	8717
176	8398
177	8583
178	8471
179	8564
180	8420
181	8541
182	8502
183	8645
184	8393
185	8343
186	8397
187	8344
188	8440
189	8316
190	8332
191	8530
192	8260
193	8311
194	8188
195	8656
196	8297
197	8254
198	8349
199	8495
200	8481
201	8406
202	8371
203	8595
204	8385
205	8436
206	8379
207	8720
208	8330
209	8343
210	8168
211	8443
212	8443
213	8336
214	8209
215	8446
216	8447
217	8574
218	8424
219	8425
220	8330
221	8336
222	8302
223	8440
224	8311
225	8143
226	8200
227	8327
228	8266
229	8272
230	8182
231	8135
232	8048
233	8111
234	8068
235	7960
236	7722
237	7859
238	7835
239	7910
240	7759
241	7612
242	7687
243	7580
244	7326
245	7170
246	6840
247	7129
248	6865
249	6856
250	6545
251	6479
252	6208
253	6283
254	6107
255	6102
256	5693
257	5668
258	5496
259	5275
260	5133
261	5135
262	4992
263	4789
264	4731
265	4600
266	4472
267	4413
268	4292
269	4224
270	4145
271	4165
272	4005
273	3858
274	3795
275	3827
276	3765
277	3668
278	3784
279	3633
280	3533
281	3517
282	3381
283	3473
284	3502
285	3458
286	3420
287	3418
288	3346
289	3468
290	3365
291	3299
292	3315
293	3332
294	3336
295	3326
296	3289
297	3294
298	3365
299	3381
300	3309
301	3304
302	3353
303	3457
304	3390
305	3388
306	3387
307	3459
308	3600
309	3584
310	3614
311	3700
312	3735
313	3855
314	3912
315	3785
316	4050
317	4140
318	4265
319	4538
320	4434
321	4587
322	4630
323	4951
324	4957
325	5187
326	5446
327	5668
328	5818
329	6183
330	6428
331	6782
332	7077
333	7442
334	7865
335	8721
336	8851
337	9445
338	10070
339	11011
340	11483
341	12310
342	13005
343	14341
344	14954
345	16173
346	16918
347	18177
348	18818
349	20004
350	21041
351	22942
352	23464
353	24225
354	25463
355	26600
356	27473
357	28425
358	28950
359	30226
360	30379
361	30597
362	30881
363	31220
364	30725
365	30613
366	29839
367	30335
368	29244
369	28296
370	27200
371	26207
372	24885
373	23758
374	22370
375	21575
376	19692
377	18146
378	16980
379	15728
380	14090
381	12980
382	11379
383	10801
384	9087
385	8524
386	7145
387	6323
388	5390
389	4668
390	4032
391	3411
392	2890
393	2388
394	2101
395	1689
396	1437
397	1143
398	914
399	859
400	650
401	489
402	429
403	334
404	280
405	236
406	171
407	172
408	153
409	142
410	123
411	123
412	86
413	89
414	83
415	65
416	100
417	84
418	65
419	82
420	69
421	77
422	72
423	57
424	85
425	59
426	83
427	62
428	51
429	64
430	68
431	64
432	76
433	61
434	68
435	59
436	66
437	78
438	64
439	73
440	71
441	67
442	56
443	48
444	66
445	52
446	58
447	64
448	54
449	66
450	57
451	45
452	55
453	63
454	55
455	51
456	58
457	56
458	49
459	45
460	57
461	57
462	60
463	57
464	51
465	61
466	50
467	53
468	65
469	58
470	61
471	49
472	47
473	54
474	65
475	48
476	45
477	52
478	39
479	44
480	45
481	46
482	44
483	41
484	44
485	37
486	40
487	52
488	41
489	38
490	47
491	53
492	42
493	50
494	46
495	55
496	43
497	50
498	48
499	53
500	42
501	35
502	42
503	55
504	39
505	45
506	54
507	47
508	33
509	37
510	53
511	77
512	38
513	35
514	30
515	35
516	37
517	49
518	40
519	37
520	37
521	36
522	31
523	35
524	42
525	47
526	36
527	39
528	49
529	36
530	38
531	36
532	37
533	37
534	29
535	26
536	37
537	46
538	43
539	35
540	28
541	34
542	37
543	31
544	29
545	37
546	27
547	43
548	26
549	25
550	38
551	31
552	32
553	30
554	37
555	22
556	49
557	31
558	37
559	40
560	38
561	33
562	34
563	35
564	37
565	33
566	43
567	29
568	31
569	28
570	29
571	34
572	34
573	31
574	30
575	35
576	32
577	36
578	30
579	25
580	28
581	36
582	26
583	26
584	33
585	32
586	27
587	34
588	27
589	29
590	28
591	32
592	36
593	29
594	32
595	32
596	18
597	34
598	18
599	26
600	34
601	33
602	28
603	27
604	24
605	24
606	21
607	36
608	22
609	25
610	27
611	31
612	21
613	30
614	20
615	22
616	18
617	29
618	15
619	23
620	35
621	18
622	25
623	31
624	21
625	27
626	20
627	27
628	26
629	14
630	15
631	29
632	20
633	15
634	23
635	15
636	16
637	18
638	21
639	19
640	14
641	17
642	17
643	15
644	24
645	18
646	19
647	11
648	12
649	16
650	17
651	23
652	11
653	18
654	19
655	11
656	17
657	22
658	23
659	13
660	19
661	19
662	18
663	14
664	16
665	18
666	15
667	25
668	9
669	14
670	17
671	10
672	19
673	12
674	19
675	19
676	18
677	14
678	15
679	21
680	16
681	11
682	12
683	17
684	18
685	15
686	22
687	20
688	19
689	18
690	27
691	19
692	16
693	18
694	22
695	30
696	19
697	23
698	19
699	23
700	21
701	26
702	17
703	22
704	16
705	18
706	22
707	18
708	19
709	19
710	25
711	22
712	28
713	24
714	26
715	23
716	24
717	22
718	18
719	28
720	27
721	32
722	20
723	29
724	31
725	31
726	33
727	28
728	25
729	18
730	21
731	23
732	31
733	19
734	31
735	23
736	25
737	19
738	23
739	27
740	24
741	23
742	16
743	22
744	17
745	27
746	28
747	12
748	17
749	21
750	16
751	19
752	23
753	18
754	16
755	18
756	16
757	10
758	17
759	13
760	16
761	16
762	18
763	11
764	12
765	14
766	13
767	13
768	9
769	19
770	8
771	9
772	8
773	3
774	11
775	14
776	8
777	7
778	5
779	4
780	7
781	1
782	3
783	6
784	6
785	2
786	5
787	3
788	3
789	6
790	4
791	2
792	4
793	6
794	3
795	3
796	1
797	9
798	6
799	5
800	3
801	2
802	3
803	7
804	0
805	6
806	3
807	4
808	6
809	5
810	8
811	3
812	6
813	5
814	5
815	2
816	3
817	2
818	2
819	1
820	3
821	2
822	1
823	0
824	3
825	4
826	2
827	4
828	1
829	1
830	3
831	4
832	2
833	0
834	2
835	1
836	4
837	1
838	1
839	5
840	0
841	0
842	2
843	0
844	0
845	0
846	2
847	2
848	0
849	2
850	1
851	3
852	1
853	1
854	0
855	2
856	1
857	1
858	0
859	0
860	0
861	0
862	2
863	1
864	0
865	1
866	0
867	1
868	1
869	1
870	1
871	0
872	0
873	0
874	0
875	1
876	1
877	1
878	0
879	1
880	0
881	0
882	1
883	0
884	0
885	0
886	1
887	0
888	0
889	0
890	0
891	1
892	0
893	0
894	1
895	0
896	1
897	0
898	1
899	0
900	1
901	1
902	1
903	0
904	0
905	0
906	1
907	0
908	0
909	0
910	1
911	1
912	2
913	0
914	0
915	0
916	2
917	1
918	0
919	0
920	0
921	0
922	1
923	0
924	1
925	1
926	0
927	1
928	0
929	0
930	0
931	1
932	1
933	0
934	1
935	0
936	0
937	2
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	2
946	0
947	0
948	0
949	0
950	1
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	1
964	0
965	2
966	3
967	1
968	0
969	1
970	1
971	0
972	0
973	0
974	2
975	1
976	1
977	0
978	0
979	0
980	1
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	2
989	1
990	1
991	0
992	0
993	0
994	0
995	2
996	0
997	1
998	0
999	1
1000	0
1001	0
1002	0
1003	0
1004	2
1005	1
1006	0
1007	2
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	1
1017	0
1018	0
1019	1
1020	1
1021	0
1022	0
1023	0
