
_column0	_column1
-0.100606875043	0.0
1.695944465	0.0
3.49249580505	0.0
5.2890471451	0.0
7.08559848515	0.0
8.8821498252	0.0
10.6787011652	0.0
12.4752525053	0.0
14.2718038453	44.3414971706
16.0683551854	78.2200099338
17.8649065254	224.993880694
19.6614578655	267.699887153
21.4580092055	259.099713466
23.2545605456	257.716503321
25.0511118856	269.64748956
26.8476632257	311.169855862
28.6442145657	332.256869252
30.4407659058	326.868137775
32.2373172458	350.016686519
34.0338685859	327.41576152
35.8304199259	332.318591557
37.626971266	314.905807747
39.423522606	317.850931051
41.2200739461	314.737356686
43.0166252861	316.73432536
44.8131766261	346.174106984
46.6097279662	346.209696557
48.4062793062	375.729659845
50.2028306463	390.06541317
51.9993819863	413.59565184
53.7959333264	467.688755547
55.5924846664	579.873217318
57.3890360065	655.607757308
59.1855873465	707.062843056
60.9821386866	772.943562777
62.7786900266	965.581350861
64.5752413667	1013.6011778
66.3717927067	1012.71284889
68.1683440468	964.795267712
69.9648953868	880.942322881
71.7614467269	826.716556557
73.5579980669	720.976489909
75.354549407	695.319772515
77.151100747	640.744717926
78.9476520871	640.81428562
80.7442034271	599.515049582
82.5407547671	591.304152156
84.3373061072	525.937587603
86.1338574472	511.382008547
87.9304087873	498.889453022
89.7269601273	519.848848691
91.5235114674	534.646263585
93.3200628074	501.211921596
95.1166141475	496.090800426
96.9131654875	501.535114248
98.7097168276	532.442886022
100.506268168	556.113079402
102.302819508	577.813306455
104.099370848	517.504448554
105.895922188	507.181884899
107.692473528	537.606141264
109.489024868	585.455947952
111.285576208	573.17344929
113.082127548	595.494180596
114.878678888	635.361266228
116.675230228	558.931653105
118.471781568	566.204993286
120.268332908	509.94730839
122.064884248	576.57734547
123.861435588	538.797127499
125.657986928	571.688227562
127.454538268	534.790114887
129.251089608	509.926532289
131.047640948	520.74075313
132.844192288	511.423913043
134.640743629	565.238747994
136.437294969	489.244319048
138.233846309	521.825852103
140.030397649	474.788130432
141.826948989	466.355441926
143.623500329	495.836249431
145.420051669	518.642026281
147.216603009	521.934480105
149.013154349	507.801031704
150.809705689	473.682119614
152.606257029	505.063898653
154.402808369	467.132138915
156.199359709	498.785595053
157.995911049	528.350768603
159.792462389	468.546933316
161.589013729	471.853420469
163.385565069	518.62109441
165.182116409	487.07333655
166.978667749	458.897223073
168.775219089	472.047972296
170.571770429	471.81698
172.36832177	465.420753003
174.16487311	420.517885514
175.96142445	493.60375353
177.75797579	462.195838011
179.55452713	444.332887438
181.35107847	489.549139441
183.14762981	441.147325234
184.94418115	447.206532417
186.74073249	430.217116034
188.53728383	476.308889718
190.33383517	442.438183203
192.13038651	453.868058861
193.92693785	460.177839526
195.72348919	372.98303676
197.52004053	442.536223479
199.31659187	415.596728009
201.11314321	455.330628852
202.90969455	382.394615089
204.70624589	442.691843638
206.50279723	426.062301106
208.29934857	384.613533135
210.095899911	410.145779831
211.892451251	387.523310933
213.689002591	402.225260441
215.485553931	422.691802778
217.282105271	411.015887263
219.078656611	360.984130628
220.875207951	415.734489798
222.671759291	438.180264763
224.468310631	407.594879782
226.264861971	427.353945528
228.061413311	437.142167061
229.857964651	442.645716486
231.654515991	427.569911699
233.451067331	366.334356903
235.247618671	375.979658081
237.044170011	439.770298069
238.840721351	392.588206056
240.637272691	390.403423667
242.433824031	463.074096417
244.230375371	389.014977293
246.026926711	465.651084826
247.823478052	415.588854878
249.620029392	466.699559844
251.416580732	433.343323398
253.213132072	420.177868775
255.009683412	395.672860847
256.806234752	415.806073976
258.602786092	382.873136557
260.399337432	386.908076955
262.195888772	399.166015414
263.992440112	418.156399606
265.788991452	435.722797623
267.585542792	410.154187993
269.382094132	449.688880825
271.178645472	413.729371318
272.975196812	339.907367522
274.771748152	376.305680092
276.568299492	401.114644654
278.364850832	410.640932652
280.161402172	422.023988379
281.957953512	437.054281613
283.754504852	404.568392664
285.551056193	462.334412711
287.347607533	427.772577086
289.144158873	432.378412597
290.940710213	480.553454997
292.737261553	481.890056181
294.533812893	468.529947982
296.330364233	469.773754411
298.126915573	478.465385463
299.923466913	476.011872481
301.720018253	424.460559226
303.516569593	469.057850712
305.313120933	472.176866521
307.109672273	471.471651859
308.906223613	424.246826363
310.702774953	403.675920517
312.499326293	480.971569081
314.295877633	460.471399082
316.092428973	539.152756278
317.888980313	456.641471949
319.685531653	506.074135031
321.482082993	454.663497261
323.278634334	514.927134979
325.075185674	499.868741931
326.871737014	501.153336057
328.668288354	575.401198687
330.464839694	468.029916111
332.261391034	502.867085877
334.057942374	529.643099785
335.854493714	486.090959433
337.651045054	558.340261389
339.447596394	523.026002551
341.244147734	557.125220774
343.040699074	505.878243593
344.837250414	538.057730983
346.633801754	539.437453049
348.430353094	520.613370424
350.226904434	490.215373029
352.023455774	579.916244298
353.820007114	515.113981201
355.616558454	539.299492601
357.413109794	600.903379649
359.209661134	628.268187129
361.006212475	608.944096746
362.802763815	563.295444993
364.599315155	569.423442466
366.395866495	582.798197208
368.192417835	552.863611748
369.988969175	646.443632576
371.785520515	594.452959328
373.582071855	662.401303918
375.378623195	627.108049523
377.175174535	631.234025928
378.971725875	645.425163189
380.768277215	596.57125451
382.564828555	610.651698927
384.361379895	663.297492468
386.157931235	603.176992869
387.954482575	614.881507949
389.751033915	621.481032852
391.547585255	735.885512536
393.344136595	698.313951727
395.140687935	678.851249229
396.937239275	763.589307818
398.733790616	738.820230769
400.530341956	675.699060297
402.326893296	699.120464128
404.123444636	797.003588011
405.919995976	696.955447094
407.716547316	846.081204108
409.513098656	750.583236222
411.309649996	746.838994715
413.106201336	825.244081051
414.902752676	850.364487001
416.699304016	884.361704556
418.495855356	704.936788164
420.292406696	770.332068322
422.088958036	856.962738133
423.885509376	697.421264677
425.682060716	719.442001342
427.478612056	702.965806762
429.275163396	746.180834448
431.071714736	798.919243912
432.868266076	755.193429322
434.664817416	723.100222504
436.461368757	813.348427016
438.257920097	734.814145342
440.054471437	708.099442158
441.851022777	665.406136714
443.647574117	656.734903394
445.444125457	837.558221247
447.240676797	661.220609752
449.037228137	703.409339133
450.833779477	688.160925491
452.630330817	659.75922932
454.426882157	614.729946277
456.223433497	667.279969614
458.019984837	710.517918471
459.816536177	648.348694754
461.613087517	562.158009222
463.409638857	595.385967538
465.206190197	699.578598576
467.002741537	561.388459676
468.799292877	676.67205525
470.595844217	567.532223828
472.392395557	642.78947745
474.188946898	566.765107545
475.985498238	601.069660949
477.782049578	733.507811769
479.578600918	565.334287121
481.375152258	564.781749379
483.171703598	702.577555587
484.968254938	574.262592566
486.764806278	695.551171453
488.561357618	536.961867467
490.357908958	626.643009144
492.154460298	640.753178312
493.951011638	556.176676157
495.747562978	522.198578092
497.544114318	513.721059074
499.340665658	523.701701854
501.137216998	492.69503893
502.933768338	532.621974562
504.730319678	538.989565576
506.526871018	534.028138711
508.323422358	570.852807584
510.119973698	565.938997906
511.916525039	491.79045758
513.713076379	463.234424407
515.509627719	469.290395489
517.306179059	428.620559909
519.102730399	461.927356789
520.899281739	487.654358965
522.695833079	442.481005249
524.492384419	460.371327327
526.288935759	462.454993259
528.085487099	520.599365444
529.882038439	486.723259985
531.678589779	440.400079242
533.475141119	478.866913197
535.271692459	403.52253192
