path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_27deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=12, tm_min=56, tm_sec=10, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.58
live_time	234.38

Channel	Counts
0	0
1	3
2	6
3	0
4	0
5	0
6	0
7	0
8	581
9	911
10	2632
11	3175
12	3056
13	3074
14	3213
15	3567
16	3629
17	3780
18	3836
19	3876
20	3613
21	3430
22	3317
23	3346
24	3236
25	3250
26	3346
27	3620
28	3551
29	3875
30	4265
31	5189
32	5984
33	7088
34	8149
35	8985
36	9649
37	9448
38	9028
39	8255
40	7287
41	6660
42	6130
43	5781
44	5184
45	4829
46	4479
47	4262
48	3836
49	3698
50	3530
51	3513
52	3549
53	3627
54	3664
55	3702
56	3655
57	3942
58	3904
59	3974
60	3978
61	3816
62	3923
63	4073
64	4118
65	3953
66	4034
67	3956
68	3975
69	3843
70	3975
71	3989
72	3914
73	3988
74	3970
75	4079
76	4031
77	4082
78	3871
79	4202
80	4179
81	4261
82	4240
83	4255
84	4229
85	4401
86	4408
87	4510
88	4618
89	4464
90	4676
91	4781
92	4741
93	4748
94	4819
95	5144
96	4905
97	4992
98	4907
99	4991
100	4830
101	4856
102	4783
103	4811
104	4535
105	4507
106	4560
107	4458
108	4320
109	4313
110	4272
111	4365
112	4225
113	4082
114	3994
115	4121
116	3980
117	4031
118	4003
119	3891
120	3878
121	3862
122	3933
123	3722
124	3686
125	3887
126	3637
127	3723
128	3678
129	3672
130	3734
131	3636
132	3571
133	3551
134	3584
135	3677
136	3463
137	3569
138	3429
139	3507
140	3483
141	3561
142	3442
143	3512
144	3417
145	3324
146	3443
147	3394
148	3314
149	3340
150	3280
151	3306
152	3360
153	3353
154	3306
155	3219
156	3197
157	3313
158	3220
159	3327
160	3173
161	3246
162	3192
163	3293
164	3206
165	3193
166	3259
167	3210
168	3252
169	3272
170	3235
171	3156
172	3246
173	3183
174	3050
175	3096
176	3063
177	3217
178	2990
179	3030
180	3109
181	2995
182	3110
183	3146
184	3163
185	3154
186	3078
187	3096
188	3045
189	3055
190	3013
191	3042
192	2996
193	3136
194	3134
195	2990
196	3032
197	3090
198	3034
199	3169
200	2968
201	3126
202	3071
203	3081
204	3089
205	3085
206	3128
207	3089
208	3113
209	3095
210	2881
211	3064
212	3004
213	3061
214	2963
215	3077
216	2974
217	3076
218	3036
219	3013
220	3019
221	3070
222	3080
223	3161
224	2902
225	2948
226	2982
227	2990
228	3110
229	2953
230	3054
231	3152
232	2988
233	3046
234	2971
235	3032
236	3018
237	3020
238	2986
239	3116
240	2986
241	2947
242	2941
243	3027
244	3082
245	2965
246	3039
247	3112
248	3057
249	2958
250	3107
251	2949
252	2931
253	2956
254	2926
255	3051
256	2943
257	2872
258	2829
259	2838
260	2873
261	2769
262	2742
263	2789
264	2708
265	2725
266	2783
267	2708
268	2598
269	2624
270	2567
271	2717
272	2731
273	2638
274	2623
275	2626
276	2576
277	2504
278	2506
279	2554
280	2462
281	2472
282	2469
283	2525
284	2357
285	2485
286	2464
287	2535
288	2584
289	2520
290	2440
291	2486
292	2407
293	2430
294	2472
295	2501
296	2401
297	2520
298	2526
299	2559
300	2550
301	2573
302	2587
303	2695
304	2631
305	2722
306	2682
307	2806
308	2698
309	2821
310	2809
311	2908
312	2953
313	2971
314	3026
315	3011
316	3041
317	3045
318	3026
319	3172
320	2949
321	2949
322	3141
323	3037
324	3083
325	2951
326	3060
327	3076
328	3059
329	3022
330	3059
331	3023
332	3017
333	3019
334	3091
335	3091
336	3108
337	3090
338	3129
339	3020
340	3119
341	3139
342	3167
343	3223
344	3327
345	3253
346	3290
347	3496
348	3373
349	3517
350	3547
351	3764
352	3869
353	3858
354	3845
355	4062
356	4096
357	4075
358	4104
359	4256
360	4282
361	4394
362	4424
363	4394
364	4346
365	4337
366	4283
367	4358
368	4266
369	4173
370	3903
371	3922
372	3775
373	3533
374	3405
375	3372
376	3058
377	2929
378	2711
379	2550
380	2352
381	2219
382	1995
383	1930
384	1641
385	1458
386	1329
387	1181
388	1007
389	795
390	731
391	698
392	584
393	455
394	410
395	373
396	290
397	230
398	182
399	171
400	132
401	107
402	67
403	68
404	52
405	45
406	47
407	39
408	25
409	21
410	20
411	14
412	19
413	9
414	8
415	20
416	7
417	12
418	16
419	13
420	9
421	4
422	8
423	8
424	9
425	11
426	10
427	11
428	6
429	6
430	6
431	7
432	7
433	9
434	12
435	11
436	12
437	9
438	8
439	8
440	12
441	7
442	8
443	15
444	4
445	8
446	5
447	9
448	15
449	11
450	7
451	5
452	9
453	10
454	9
455	7
456	5
457	10
458	7
459	9
460	9
461	9
462	7
463	10
464	7
465	3
466	12
467	11
468	4
469	9
470	6
471	7
472	8
473	8
474	8
475	10
476	12
477	9
478	5
479	12
480	9
481	14
482	5
483	5
484	5
485	11
486	8
487	5
488	7
489	4
490	4
491	10
492	10
493	9
494	10
495	4
496	10
497	8
498	7
499	5
500	4
501	8
502	12
503	10
504	6
505	5
506	12
507	6
508	5
509	8
510	5
511	21
512	4
513	4
514	10
515	5
516	9
517	6
518	8
519	7
520	8
521	5
522	10
523	11
524	4
525	5
526	5
527	3
528	5
529	7
530	2
531	8
532	5
533	6
534	5
535	6
536	6
537	5
538	2
539	8
540	3
541	4
542	8
543	4
544	4
545	11
546	5
547	5
548	5
549	5
550	6
551	4
552	6
553	6
554	4
555	2
556	0
557	5
558	1
559	5
560	10
561	8
562	5
563	5
564	4
565	5
566	4
567	7
568	9
569	3
570	5
571	5
572	4
573	5
574	7
575	7
576	9
577	8
578	0
579	5
580	6
581	2
582	8
583	5
584	2
585	4
586	5
587	4
588	5
589	3
590	9
591	4
592	4
593	0
594	6
595	3
596	4
597	2
598	1
599	7
600	4
601	1
602	3
603	3
604	5
605	3
606	5
607	3
608	2
609	3
610	4
611	5
612	6
613	3
614	8
615	5
616	5
617	4
618	3
619	12
620	5
621	4
622	6
623	7
624	6
625	6
626	6
627	6
628	9
629	4
630	1
631	2
632	3
633	5
634	5
635	6
636	6
637	9
638	1
639	8
640	9
641	7
642	4
643	2
644	1
645	3
646	6
647	5
648	4
649	10
650	0
651	1
652	4
653	0
654	2
655	7
656	5
657	1
658	4
659	2
660	4
661	5
662	2
663	6
664	2
665	7
666	2
667	1
668	5
669	4
670	1
671	6
672	3
673	5
674	1
675	4
676	5
677	3
678	6
679	2
680	5
681	4
682	3
683	0
684	2
685	2
686	3
687	6
688	3
689	2
690	7
691	6
692	1
693	2
694	3
695	3
696	5
697	4
698	2
699	3
700	2
701	4
702	2
703	4
704	4
705	2
706	0
707	0
708	2
709	2
710	2
711	1
712	1
713	1
714	0
715	4
716	1
717	4
718	2
719	3
720	2
721	1
722	6
723	0
724	1
725	3
726	1
727	4
728	2
729	2
730	3
