path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_45deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=14, tm_min=9, tm_sec=1, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.62
live_time	360.48

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	43
9	76
10	219
11	261
12	253
13	252
14	264
15	305
16	326
17	321
18	344
19	322
20	327
21	310
22	313
23	310
24	312
25	341
26	341
27	370
28	384
29	407
30	460
31	570
32	644
33	694
34	758
35	946
36	992
37	990
38	942
39	859
40	805
41	701
42	675
43	621
44	620
45	579
46	570
47	506
48	491
49	478
50	497
51	510
52	477
53	471
54	475
55	503
56	524
57	543
58	485
59	474
60	501
61	544
62	531
63	550
64	585
65	513
66	518
67	465
68	524
69	488
70	516
71	481
72	457
73	465
74	455
75	501
76	432
77	459
78	416
79	407
80	431
81	449
82	450
83	436
84	405
85	430
86	396
87	421
88	444
89	392
90	393
91	430
92	402
93	377
94	386
95	384
96	377
97	339
98	396
99	369
100	353
101	387
102	347
103	350
104	335
105	369
106	341
107	348
108	351
109	283
110	334
111	312
112	340
113	284
114	327
115	313
116	281
117	298
118	280
119	289
120	302
121	292
122	255
123	292
124	306
125	283
126	295
127	300
128	302
129	290
130	247
131	252
132	293
133	260
134	257
135	303
136	253
137	301
138	267
139	298
140	275
141	265
142	248
143	259
144	237
145	238
146	244
147	254
148	263
149	246
150	268
151	245
152	200
153	220
154	233
155	237
156	242
157	249
158	229
159	260
160	239
161	240
162	265
163	264
164	255
165	254
166	257
167	254
168	225
169	247
170	247
171	245
172	219
173	207
174	245
175	233
176	271
177	228
178	251
179	224
180	252
181	243
182	242
183	276
184	223
185	238
186	249
187	227
188	259
189	241
190	255
191	230
192	243
193	242
194	232
195	217
196	255
197	225
198	234
199	259
200	269
201	259
202	238
203	239
204	243
205	229
206	266
207	243
208	269
209	253
210	253
211	257
212	236
213	240
214	259
215	234
216	237
217	238
218	280
219	264
220	255
221	285
222	274
223	249
224	256
225	290
226	252
227	304
228	268
229	265
230	291
231	298
