0	0
1	3
2	5
3	0
4	0
5	0
6	0
7	0
8	467
9	619
10	1829
11	2209
12	2171
13	2363
14	2510
15	2920
16	3101
17	3444
18	3446
19	3331
20	3005
21	2744
22	2599
23	2563
24	2520
25	2632
26	2657
27	2914
28	3100
29	3639
30	4619
31	5866
32	7202
33	8841
34	10623
35	11646
36	12077
37	11702
38	10408
39	9440
40	7882
41	6995
42	6284
43	5891
44	5156
45	4394
46	3717
47	3398
48	2800
49	2558
50	2394
51	2450
52	2479
53	2403
54	2547
55	2515
56	2504
57	2598
58	2571
59	2680
60	2610
61	2700
62	2669
63	2726
64	2624
65	2681
66	2614
67	2631
68	2620
69	2662
70	2675
71	2707
72	2712
73	2619
74	2659
75	2719
76	2659
77	2674
78	2835
79	2825
80	2841
81	2842
82	2901
83	2918
84	2985
85	3010
86	3017
87	3082
88	3172
89	3199
90	3243
91	3254
92	3394
93	3255
94	3341
95	3560
96	3359
97	3273
98	3257
99	3273
100	3165
101	3178
102	3062
103	2967
104	2834
105	2797
106	2762
107	2699
108	2675
109	2669
110	2656
111	2625
112	2540
113	2478
114	2484
115	2427
116	2482
117	2530
118	2328
119	2504
120	2506
121	2367
122	2387
123	2483
124	2384
125	2501
126	2342
127	2439
128	2348
129	2272
130	2393
131	2388
132	2349
133	2394
134	2315
135	2364
136	2296
137	2273
138	2314
139	2286
140	2268
141	2249
142	2216
143	2276
144	2292
145	2234
146	2335
147	2248
148	2234
149	2238
150	2265
151	2312
152	2314
153	2199
154	2152
155	2238
156	2311
157	2218
158	2239
159	2315
160	2348
161	2158
162	2256
163	2272
164	2318
165	2365
166	2230
167	2331
168	2217
169	2172
170	2234
171	2179
172	2133
173	2272
174	2183
175	2294
176	2245
177	2267
178	2332
179	2242
180	2245
181	2305
182	2227
183	2255
184	2252
185	2215
186	2334
187	2360
188	2268
189	2346
190	2195
191	2403
192	2352
193	2348
194	2404
195	2360
196	2304
197	2322
198	2370
199	2398
200	2372
201	2334
202	2291
203	2346
204	2326
205	2397
206	2280
207	2437
208	2440
209	2460
210	2347
211	2373
212	2476
213	2394
214	2395
215	2403
216	2457
217	2461
218	2459
219	2458
220	2289
221	2485
222	2552
223	2499
224	2521
225	2345
226	2463
227	2535
228	2438
229	2455
230	2666
231	2613
232	2507
233	2518
234	2492
235	2548
236	2572
237	2499
238	2569
239	2551
240	2517
241	2503
242	2607
243	2573
244	2514
245	2522
246	2547
247	2551
248	2513
249	2592
250	2529
251	2509
252	2497
253	2552
254	2460
255	2577
256	2477
257	2455
258	2413
259	2416
260	2441
261	2454
262	2326
263	2477
264	2422
265	2296
266	2347
267	2367
268	2209
269	2195
270	2223
271	2271
272	2133
273	2132
274	2099
275	2138
276	2033
277	2039
278	2108
279	2005
280	1977
281	1867
282	2015
283	1911
284	1807
285	1825
286	1788
287	1862
288	1701
289	1664
290	1580
291	1631
292	1530
293	1591
294	1477
295	1446
296	1428
297	1363
298	1299
299	1308
300	1266
301	1217
302	1128
303	1158
304	1110
305	1050
306	1070
307	1044
308	979
309	971
310	1005
311	861
312	873
313	795
314	839
315	780
316	715
317	719
318	686
319	687
320	655
321	599
322	590
323	594
324	548
325	543
326	553
327	578
328	522
329	509
330	516
331	490
332	474
333	525
334	449
335	487
336	502
337	511
338	443
339	463
340	458
341	469
342	443
343	446
344	433
345	466
346	489
347	472
348	477
349	509
350	465
351	500
352	489
353	469
354	530
355	509
356	474
357	508
358	488
359	494
360	459
361	517
362	468
363	432
364	443
365	451
366	379
367	385
368	401
369	343
370	332
371	304
372	304
373	277
374	223
375	221
376	194
377	210
378	186
379	153
380	142
381	120
382	109
383	88
384	90
385	70
386	60
387	58
388	38
389	48
390	28
391	31
392	23
393	16
394	25
395	15
396	16
397	15
398	12
399	12
400	11
401	7
402	9
403	12
404	10
405	9
406	4
407	13
408	8
409	9
410	19
411	4
412	5
413	13
414	12
415	6
416	11
417	16
418	7
419	9
420	5
421	8
422	6
423	8
424	9
425	8
426	5
427	8
428	5
429	5
430	5
431	9
432	5
433	9
434	8
435	6
436	2
437	4
438	6
439	10
440	5
441	6
442	10
443	7
444	8
445	6
446	6
447	5
448	7
449	5
450	5
451	8
452	9
453	7
454	7
455	4
456	5
457	11
458	8
459	5
460	2
461	6
462	10
463	3
464	5
465	4
466	7
467	5
468	3
469	10
470	6
471	9
472	2
473	5
474	8
475	1
476	7
477	9
478	2
479	5
480	9
481	4
482	6
483	7
484	9
485	9
486	5
487	7
488	4
489	1
490	3
491	4
492	8
493	5
494	3
495	2
496	4
497	7
498	11
499	11
500	6
501	4
502	6
503	7
504	5
505	8
506	3
507	4
508	9
509	2
510	5
511	10
512	4
513	4
514	10
515	4
516	3
517	6
518	3
519	6
520	3
521	4
522	11
523	5
524	2
525	3
526	3
527	4
528	4
529	4
530	8
531	2
532	9
533	4
534	3
535	8
536	10
537	6
538	4
539	5
540	7
541	7
542	4
543	8
544	2
545	9
546	4
547	6
548	6
549	4
550	3
551	5
552	3
553	4
554	6
555	4
556	3
557	4
558	5
559	7
560	5
561	5
562	4
563	4
564	3
565	5
566	7
567	3
568	4
569	2
570	4
571	1
572	5
573	4
574	4
575	3
576	3
577	8
578	4
579	4
580	7
581	4
582	3
583	4
584	9
585	5
586	5
587	5
588	3
589	0
590	1
591	2
592	3
593	5
594	9
595	3
596	5
597	6
598	4
599	2
600	7
601	1
602	4
603	1
604	3
605	7
606	0
607	4
608	3
609	4
610	2
611	4
612	5
613	3
614	4
615	2
616	5
617	6
618	4
619	6
620	5
621	3
622	6
623	4
624	3
