path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_25deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=3, tm_mday=27, tm_hour=14, tm_min=47, tm_sec=28, tm_wday=2, tm_yday=86, tm_isdst=-1)
real_time	400.78000000000003
live_time	366.3

Channel	Counts
0	0
1	1
2	1
3	1
4	0
5	0
6	0
7	0
8	79
9	116
10	288
11	389
12	344
13	356
14	405
15	401
16	449
17	444
18	463
19	473
20	457
21	463
22	459
23	443
24	493
25	568
26	583
27	582
28	675
29	706
30	786
31	905
32	1039
33	1104
34	1198
35	1312
36	1289
37	1302
38	1328
39	1184
40	1118
41	1154
42	1076
43	1114
44	1004
45	1033
46	982
47	1045
48	1022
49	1027
50	1034
51	1056
52	1078
53	1087
54	1128
55	1209
56	1204
57	1286
58	1173
59	1231
60	1306
61	1226
62	1336
63	1338
64	1261
65	1277
66	1262
67	1250
68	1240
69	1311
70	1315
71	1270
72	1392
73	1354
74	1332
75	1369
76	1312
77	1361
78	1397
79	1486
80	1471
81	1453
82	1527
83	1608
84	1690
85	1780
86	1728
87	1844
88	1970
89	2060
90	2165
91	2235
92	2312
93	2354
94	2373
95	2451
96	2358
97	2292
98	2201
99	2171
100	1982
101	1888
102	1719
103	1563
104	1493
105	1314
106	1143
107	1059
108	905
109	869
110	736
111	707
112	659
113	594
114	590
115	522
116	502
117	516
118	505
119	468
120	434
121	404
122	369
123	382
124	380
125	401
126	352
127	348
128	354
129	350
130	342
131	321
132	348
133	315
134	289
135	310
136	300
137	289
138	265
139	302
140	266
141	297
142	270
143	277
144	282
145	252
146	254
147	287
148	275
149	274
150	268
151	261
152	269
153	239
154	262
155	228
156	230
157	229
158	243
159	255
160	270
161	248
162	246
163	254
164	214
165	217
166	216
167	233
168	209
169	231
170	227
171	188
172	200
173	189
174	222
175	212
176	198
177	204
178	188
179	191
180	211
181	195
182	173
183	193
184	185
185	164
186	182
187	177
188	164
189	185
190	173
191	164
192	160
193	164
194	179
195	180
196	165
197	176
198	157
199	166
200	165
201	169
202	177
203	174
204	162
205	155
206	172
207	161
208	165
209	195
210	192
211	182
212	177
213	161
214	189
215	180
216	183
217	185
218	174
219	171
220	180
221	189
222	188
223	220
224	219
225	201
226	203
227	199
228	240
229	224
230	220
231	245
232	255
233	244
234	295
235	304
236	291
237	285
238	289
239	294
240	304
241	346
242	341
243	373
244	352
245	356
246	366
247	383
248	432
249	411
250	402
251	441
252	412
253	437
254	434
255	480
256	450
257	506
258	477
259	464
260	454
261	496
262	480
263	513
264	520
