
_column0	_column1
-0.100606875043	0.0
1.695944465	0.0
3.49249580505	2.09279625215
5.2890471451	0.0
7.08559848515	0.0
8.8821498252	0.0
10.6787011652	0.0
12.4752525053	1.03333387532
14.2718038453	65.9966469517
16.0683551854	108.067118987
17.8649065254	314.375011381
19.6614578655	357.958852936
21.4580092055	366.631215102
23.2545605456	395.778915814
25.0511118856	388.128962245
26.8476632257	383.60611739
28.6442145657	457.61758986
30.4407659058	449.061834139
32.2373172458	469.06305955
34.0338685859	473.837716982
35.8304199259	448.172779439
37.626971266	405.314249326
39.423522606	455.95868384
41.2200739461	467.02962605
43.0166252861	419.266911455
44.8131766261	486.268027113
46.6097279662	475.149964777
48.4062793062	510.789240275
50.2028306463	527.197784987
51.9993819863	583.301975814
53.7959333264	638.496822791
55.5924846664	750.783218212
57.3890360065	804.239329617
59.1855873465	993.351976916
60.9821386866	1050.30589665
62.7786900266	1231.98381658
64.5752413667	1243.5006385
66.3717927067	1284.81549314
68.1683440468	1238.25634678
69.9648953868	1172.19682777
71.7614467269	995.140799135
73.5579980669	937.989384874
75.354549407	886.918998719
77.151100747	830.595004719
78.9476520871	748.305714175
80.7442034271	739.298351298
82.5407547671	744.835756576
84.3373061072	709.911803029
86.1338574472	693.646471878
87.9304087873	670.05654569
89.7269601273	714.399926873
91.5235114674	618.512344148
93.3200628074	682.993184565
95.1166141475	716.224510169
96.9131654875	702.149159948
98.7097168276	721.920573095
100.506268168	767.308695435
102.302819508	702.314516134
104.099370848	738.377481236
105.895922188	723.322688169
107.692473528	713.588989901
109.489024868	754.42025646
111.285576208	823.599513763
113.082127548	843.436303062
114.878678888	760.261344205
116.675230228	773.57012418
118.471781568	776.072481145
120.268332908	788.499171468
122.064884248	788.942665462
123.861435588	723.180570721
125.657986928	738.984588728
127.454538268	732.695812288
129.251089608	789.995590504
131.047640948	767.112722353
132.844192288	774.441925465
134.640743629	733.343685022
136.437294969	739.529028561
138.233846309	679.851545877
140.030397649	687.07320798
141.826948989	718.439464589
143.623500329	714.418354748
145.420051669	686.132212942
147.216603009	719.109728145
149.013154349	638.245333426
150.809705689	687.716262551
152.606257029	721.184264588
154.402808369	717.21298096
156.199359709	719.151677427
157.995911049	654.488564711
159.792462389	695.648763239
161.589013729	680.765621899
163.385565069	723.657341037
165.182116409	754.842509132
166.978667749	761.988492423
168.775219089	662.823836748
170.571770429	774.074732813
172.36832177	666.650415441
174.16487311	729.39385452
175.96142445	715.476147794
177.75797579	715.213613832
179.55452713	657.058830716
181.35107847	655.262155635
183.14762981	644.558195659
184.94418115	622.255946534
186.74073249	656.241630727
188.53728383	702.200639585
190.33383517	668.198429177
192.13038651	645.588187172
193.92693785	624.058836508
195.72348919	662.934514099
197.52004053	629.355407642
199.31659187	713.973866067
201.11314321	674.960696887
202.90969455	648.993677722
204.70624589	624.100733691
206.50279723	638.412840954
208.29934857	629.616459936
210.095899911	605.584372905
211.892451251	597.893108297
213.689002591	602.641999207
215.485553931	677.426597829
217.282105271	565.850639315
219.078656611	620.043330254
220.875207951	676.280420049
222.671759291	642.950780649
224.468310631	606.351393597
226.264861971	596.846866297
228.061413311	601.799049988
229.857964651	595.080002958
231.654515991	619.23918246
233.451067331	611.051639855
235.247618671	654.980436102
237.044170011	576.354247298
238.840721351	634.180948244
240.637272691	613.708105687
242.433824031	596.035965686
244.230375371	615.04344236
246.026926711	620.352441911
247.823478052	617.93548834
249.620029392	577.893079136
251.416580732	559.406835659
253.213132072	586.663439422
255.009683412	582.341105681
256.806234752	627.722683106
258.602786092	567.039961736
260.399337432	586.864772187
262.195888772	574.21012873
263.992440112	602.540323842
265.788991452	578.202495705
267.585542792	628.569629566
269.382094132	652.720054631
271.178645472	616.372328698
272.975196812	627.129093078
274.771748152	626.035813244
276.568299492	628.355559221
278.364850832	637.619676016
280.161402172	592.926264665
281.957953512	654.70380338
283.754504852	643.069410173
285.551056193	622.37324788
287.347607533	588.858484775
289.144158873	612.536084513
290.940710213	694.535748166
292.737261553	609.663934714
294.533812893	619.194480274
296.330364233	625.132003902
298.126915573	664.6386872
299.923466913	631.559059158
301.720018253	654.612506895
303.516569593	620.979421792
305.313120933	602.168878357
307.109672273	644.665319888
308.906223613	645.087640087
310.702774953	594.788192067
312.499326293	659.618151883
314.295877633	671.932513682
316.092428973	618.732498902
317.888980313	676.95095403
319.685531653	616.966873783
321.482082993	659.66802058
323.278634334	692.699598245
325.075185674	662.377509883
326.871737014	629.547992402
328.668288354	712.997137503
330.464839694	671.612435675
332.261391034	648.656283043
334.057942374	618.980490111
335.854493714	629.562740411
337.651045054	676.906726163
339.447596394	666.261339349
341.244147734	620.484559608
343.040699074	681.835893539
344.837250414	575.699629859
346.633801754	686.556758426
348.430353094	644.034643585
350.226904434	752.265987183
352.023455774	707.270399908
353.820007114	698.265618961
355.616558454	643.010933486
357.413109794	693.706990405
359.209661134	693.664132258
361.006212475	684.180433023
362.802763815	719.503425537
364.599315155	636.134138655
366.395866495	755.479144529
368.192417835	803.945776035
369.988969175	755.804397486
371.785520515	790.157637296
373.582071855	731.350138527
375.378623195	803.094893461
377.175174535	731.033871924
378.971725875	755.925969338
380.768277215	770.992511125
382.564828555	809.113501078
384.361379895	717.078370236
386.157931235	778.459195925
387.954482575	814.653137114
389.751033915	900.886371151
391.547585255	880.434452499
393.344136595	812.054481743
395.140687935	854.553925501
396.937239275	843.967129694
398.733790616	908.694955362
400.530341956	922.641287153
402.326893296	914.864669855
404.123444636	827.234758591
405.919995976	959.696587864
407.716547316	990.8056206
409.513098656	980.239301036
411.309649996	941.298959377
413.106201336	918.828461376
414.902752676	921.703789602
416.699304016	1022.18430786
418.495855356	1077.62877863
420.292406696	1005.79205902
422.088958036	1096.79531331
423.885509376	1012.2907808
425.682060716	1184.26666888
427.478612056	1099.12874023
429.275163396	1030.86830141
431.071714736	1064.22072868
432.868266076	1216.1950408
434.664817416	1153.29908906
436.461368757	1252.24965367
438.257920097	1290.55593594
440.054471437	1416.19888432
441.851022777	1343.30816332
443.647574117	1467.44114777
445.444125457	1419.10808053
447.240676797	1471.85164575
449.037228137	1518.72470949
450.833779477	1514.59717713
452.630330817	1607.354593
454.426882157	1772.63397207
456.223433497	1740.16148939
458.019984837	1769.71592656
459.816536177	1773.03520606
461.613087517	1912.66778286
463.409638857	1896.53844716
465.206190197	1940.65793932
467.002741537	1839.7308558
468.799292877	2179.63209756
470.595844217	2129.95527377
472.392395557	2124.29891478
474.188946898	2128.82503809
475.985498238	2098.53222666
477.782049578	2022.38582388
479.578600918	2040.11938396
481.375152258	2033.21429776
483.171703598	2150.31312467
484.968254938	2083.0394662
486.764806278	2151.18919006
488.561357618	1863.14956698
490.357908958	1916.15116669
492.154460298	1893.13439047
493.951011638	1873.43722495
495.747562978	1662.20955843
497.544114318	1681.6049056
499.340665658	1600.8186773
501.137216998	1470.62004044
502.933768338	1372.81438514
504.730319678	1432.27996447
506.526871018	1261.21539142
508.323422358	1153.12267132
510.119973698	1185.41276588
511.916525039	1191.05501445
513.713076379	961.211430644
515.509627719	973.486688163
517.306179059	861.137670362
519.102730399	904.281520494
520.899281739	703.952663344
522.695833079	774.341759187
524.492384419	670.713399296
526.288935759	613.948870361
