
_column0	_column1
-0.100606875043	0.0
1.695944465	1.04951921356
3.49249580505	1.04639812608
5.2890471451	0.0
7.08559848515	0.0
8.8821498252	0.0
10.6787011652	0.0
12.4752525053	0.0
14.2718038453	161.898024553
16.0683551854	251.127400314
17.8649065254	789.019636407
19.6614578655	894.384297306
21.4580092055	888.927080192
23.2545605456	949.051250324
25.0511118856	950.9159575
26.8476632257	1048.79544861
28.6442145657	1132.32325687
30.4407659058	1138.4379378
32.2373172458	1197.58616289
34.0338685859	1091.04693202
35.8304199259	1105.69610891
37.626971266	1090.99625006
39.423522606	1046.97862592
41.2200739461	1048.78609502
43.0166252861	1087.25148225
44.8131766261	1091.31133433
46.6097279662	1162.49296938
48.4062793062	1147.49869088
50.2028306463	1228.09657428
51.9993819863	1312.93754835
53.7959333264	1530.15560239
55.5924846664	1763.01804493
57.3890360065	1977.0035166
59.1855873465	2346.3483106
60.9821386866	2771.5839098
62.7786900266	3006.97955564
64.5752413667	3091.89230245
66.3717927067	3150.66219655
68.1683440468	3061.33020721
69.9648953868	2885.88090406
71.7614467269	2547.93015754
73.5579980669	2259.60820019
75.354549407	2085.95931754
77.151100747	2032.63622273
78.9476520871	1893.50285686
80.7442034271	1900.01747147
82.5407547671	1672.24963733
84.3373061072	1570.53694638
86.1338574472	1468.53081884
87.9304087873	1461.18249839
89.7269601273	1398.46662113
91.5235114674	1374.35539522
93.3200628074	1406.9659602
95.1166141475	1431.395749
96.9131654875	1502.49361595
98.7097168276	1512.64589289
100.506268168	1430.61150961
102.302819508	1506.78387098
104.099370848	1530.10593655
105.895922188	1544.01573821
107.692473528	1532.33846253
109.489024868	1561.57459647
111.285576208	1492.84158261
113.082127548	1605.66885422
114.878678888	1569.39663197
116.675230228	1541.69257143
118.471781568	1582.7506376
120.268332908	1551.77514274
122.064884248	1527.26976243
123.861435588	1609.76682765
125.657986928	1651.91307615
127.454538268	1579.91008993
129.251089608	1587.80187187
131.047640948	1639.49346792
132.844192288	1518.53561873
134.640743629	1688.94691766
136.437294969	1661.39216677
138.233846309	1682.57573227
140.030397649	1551.05064725
141.826948989	1779.48403271
143.623500329	1719.89603921
145.420051669	1786.94702596
147.216603009	1764.13854276
149.013154349	1804.09128007
150.809705689	1908.76350422
152.606257029	1939.21045738
154.402808369	1847.29527662
156.199359709	2119.542588
157.995911049	2087.22353183
159.792462389	2074.99356183
161.589013729	2104.73039716
163.385565069	2214.39146357
165.182116409	2191.83001448
166.978667749	2237.27611673
168.775219089	2324.77511745
170.571770429	2355.39882985
172.36832177	2335.74552966
174.16487311	2329.5946578
175.96142445	2350.85019989
177.75797579	2254.61384395
179.55452713	2289.63604037
181.35107847	2174.50896822
183.14762981	2157.42654444
184.94418115	2009.87392998
186.74073249	1941.75605804
188.53728383	1911.68960887
190.33383517	1895.60758258
192.13038651	1840.25238808
193.92693785	1708.29551254
195.72348919	1758.16032169
197.52004053	1619.09959608
199.31659187	1593.1207907
201.11314321	1568.21225408
202.90969455	1565.93287799
204.70624589	1508.13062328
206.50279723	1509.5945429
208.29934857	1530.24174393
210.095899911	1486.43436986
211.892451251	1433.83625045
213.689002591	1508.69267238
215.485553931	1497.61665223
217.282105271	1428.70248484
219.078656611	1436.8584023
220.875207951	1393.84953943
222.671759291	1407.61830151
224.468310631	1483.47253065
226.264861971	1377.67322779
228.061413311	1446.94057297
229.857964651	1366.04572108
231.654515991	1359.3774434
233.451067331	1386.73127006
235.247618671	1417.38363166
237.044170011	1418.37178046
238.840721351	1375.56867583
240.637272691	1376.28599939
242.433824031	1372.41101843
244.230375371	1488.40513051
246.026926711	1458.83379731
247.823478052	1399.30479601
249.620029392	1437.68522126
251.416580732	1381.97125316
253.213132072	1468.24417542
255.009683412	1354.54136637
256.806234752	1419.19910963
258.602786092	1458.79511524
260.399337432	1419.2048369
262.195888772	1442.88699014
263.992440112	1422.39027268
265.788991452	1399.94587069
267.585542792	1493.89492862
269.382094132	1407.79466796
271.178645472	1432.01023215
272.975196812	1504.09010128
274.771748152	1479.56551491
276.568299492	1454.68615765
278.364850832	1477.96082511
280.161402172	1438.7181422
281.957953512	1509.50474774
283.754504852	1514.03979263
285.551056193	1571.93700322
287.347607533	1553.58408749
289.144158873	1500.71340706
290.940710213	1521.45037261
292.737261553	1463.92357976
294.533812893	1602.18868486
296.330364233	1525.83995035
298.126915573	1578.74959873
299.923466913	1639.80467882
301.720018253	1467.69028923
303.516569593	1466.04316093
305.313120933	1619.16520625
307.109672273	1587.60862361
308.906223613	1580.75529823
310.702774953	1577.65130289
312.499326293	1641.19278266
314.295877633	1604.73294444
316.092428973	1561.752449
317.888980313	1666.34080992
319.685531653	1647.26122837
321.482082993	1646.12542982
323.278634334	1755.24765455
325.075185674	1684.74279688
326.871737014	1776.81637329
328.668288354	1799.17113937
330.464839694	1691.62382236
332.261391034	1764.2605744
334.057942374	1629.34383308
335.854493714	1640.28931685
337.651045054	1610.34816702
339.447596394	1625.50404942
341.244147734	1632.04917615
343.040699074	1691.3929101
344.837250414	1751.45541238
346.633801754	1720.85005683
348.430353094	1772.77828722
350.226904434	1838.87241311
352.023455774	1771.5872718
353.820007114	1783.43907269
355.616558454	1783.83678322
357.413109794	1825.91104164
359.209661134	1812.40190785
361.006212475	1864.45045838
362.802763815	1841.36074035
364.599315155	1872.66454301
366.395866495	1817.94663985
368.192417835	1820.34569108
369.988969175	1854.27252502
371.785520515	1954.60047121
373.582071855	1947.80457769
375.378623195	1868.93070886
377.175174535	1766.45727414
378.971725875	1848.37712104
380.768277215	1986.88561883
382.564828555	1989.70678567
384.361379895	1808.06189067
386.157931235	2118.85251341
387.954482575	1966.58305074
389.751033915	1997.6176056
391.547585255	1892.27703224
393.344136595	1936.23413888
395.140687935	2023.24293888
396.937239275	2017.48332908
398.733790616	1965.69324172
400.530341956	2122.07496045
402.326893296	2105.55421032
404.123444636	2044.72644648
405.919995976	2126.82039213
407.716547316	2101.28720099
409.513098656	2215.34082034
411.309649996	2178.51525628
413.106201336	2186.47143124
414.902752676	2171.56837117
416.699304016	2156.34948091
418.495855356	2230.37377239
420.292406696	2273.20632992
422.088958036	2187.74105162
423.885509376	2151.11790919
425.682060716	2282.67400426
427.478612056	2168.47079374
429.275163396	2184.60172013
431.071714736	2402.78731094
432.868266076	2262.54738263
434.664817416	2254.73022966
436.461368757	2252.82168087
438.257920097	2306.32843097
440.054471437	2366.54287248
441.851022777	2221.14442818
443.647574117	2199.59058553
445.444125457	2285.11167533
447.240676797	2330.16686033
449.037228137	2145.39848436
450.833779477	2312.09208144
452.630330817	2273.58205006
454.426882157	2312.55551219
456.223433497	2149.03401979
458.019984837	2282.86775657
459.816536177	2193.13869705
461.613087517	2358.40253573
463.409638857	2338.06062533
465.206190197	2243.36021755
467.002741537	2221.88083137
468.799292877	2427.85852989
470.595844217	2317.99305877
472.392395557	2199.92120625
474.188946898	2294.7075086
475.985498238	2428.59938152
477.782049578	2399.61841279
479.578600918	2440.41819596
481.375152258	2552.10753
483.171703598	2427.08610112
484.968254938	2621.63357476
486.764806278	2674.64522631
488.561357618	2742.4696721
490.357908958	2749.2603696
492.154460298	2839.7015857
493.951011638	2967.49529187
495.747562978	2724.99398849
497.544114318	2982.5388106
499.340665658	3235.0651228
501.137216998	3224.91298209
502.933768338	3372.02221924
504.730319678	3230.16823565
506.526871018	3438.98971596
508.323422358	3497.4248678
