path	'C:/Users/aorfi/Documents/GitHub/Phys359/Compton Scattering/3brick.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=1, tm_hour=15, tm_min=13, tm_sec=31, tm_wday=0, tm_yday=91, tm_isdst=-1)
real_time	400.68
live_time	236.28

Channel	Counts
0	0
1	2
2	6
3	0
4	0
5	0
6	0
7	0
8	495
9	711
10	2059
11	2503
12	2518
13	2469
14	2428
15	2765
16	2639
17	2806
18	2830
19	2750
20	2730
21	2766
22	2632
23	2593
24	2744
25	2778
26	2800
27	2903
28	2902
29	3192
30	3462
31	3790
32	4189
33	4690
34	5130
35	5483
36	5660
37	5573
38	5299
39	5210
40	4864
41	4660
42	4593
43	4530
44	4339
45	4278
46	4237
47	4397
48	4225
49	4114
50	4144
51	4114
52	4154
53	4315
54	4305
55	4494
56	4359
57	4290
58	4306
59	4487
60	4411
61	4418
62	4359
63	4329
64	4197
65	4320
66	4082
67	4212
68	4088
69	4075
70	4042
71	3851
72	4007
73	3898
74	3885
75	3810
76	3748
77	3804
78	3871
79	3807
80	3745
81	3779
82	3729
83	3820
84	3671
85	3769
86	3693
87	3713
88	3710
89	3679
90	3659
91	3721
92	3604
93	3543
94	3594
95	3750
96	3726
97	3620
98	3587
99	3586
100	3579
101	3626
102	3597
103	3528
104	3479
105	3536
106	3463
107	3420
108	3427
109	3323
110	3439
111	3358
112	3336
113	3329
114	3263
115	3295
116	3280
117	3262
118	3134
119	3326
120	3171
121	3090
122	3078
123	3139
124	3229
125	3067
126	3014
127	3084
128	3078
129	3080
130	2986
131	3113
132	3046
133	2853
134	2982
135	3019
136	2902
137	2855
138	2904
139	2849
140	2876
141	2822
142	2845
143	2930
144	2912
145	2767
146	2803
147	2778
148	2780
149	2779
150	2743
151	2874
152	2746
153	2704
154	2701
155	2651
156	2748
157	2700
158	2618
159	2761
160	2711
161	2645
162	2609
163	2750
164	2675
165	2674
166	2597
167	2732
168	2663
169	2543
170	2622
171	2637
172	2591
173	2630
174	2517
175	2743
176	2614
177	2561
178	2626
179	2590
180	2599
181	2616
182	2590
183	2581
184	2600
185	2551
186	2534
187	2645
188	2522
189	2603
190	2563
191	2581
192	2512
193	2540
194	2563
195	2484
196	2594
197	2597
198	2472
199	2492
200	2598
201	2567
202	2564
203	2497
204	2540
205	2588
