path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_42deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=52, tm_sec=48, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.98
live_time	349.92

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	66
9	110
10	335
11	381
12	397
13	411
14	378
15	406
16	453
17	461
18	479
19	471
20	437
21	430
22	464
23	444
24	443
25	431
26	471
27	496
28	521
29	599
30	614
31	688
32	819
33	1002
34	1121
35	1277
36	1429
37	1445
38	1365
39	1313
40	1187
41	1008
42	976
43	891
44	821
45	739
46	723
47	709
48	601
49	599
50	594
51	568
52	538
53	562
54	583
55	590
56	615
57	569
58	567
59	652
60	625
61	601
62	608
63	593
64	634
65	659
66	588
67	632
68	597
69	591
70	571
71	575
72	600
73	627
74	579
75	562
76	579
77	563
78	565
79	585
80	571
81	559
82	567
83	510
84	553
85	575
86	566
87	578
88	568
89	486
90	522
91	531
92	481
93	541
94	518
95	579
96	511
97	518
98	498
99	478
100	487
101	508
102	464
103	530
104	516
105	494
106	486
107	525
108	474
109	467
110	457
111	461
112	429
113	477
114	413
115	409
116	463
117	426
118	453
119	378
120	382
121	444
122	433
123	391
124	422
125	412
126	403
127	406
128	403
129	387
130	397
131	378
132	384
133	407
134	407
135	373
136	405
137	420
138	363
139	411
140	383
141	377
142	383
143	407
144	338
145	409
146	384
147	335
148	332
149	364
150	373
151	348
152	345
153	377
154	332
155	321
156	334
157	335
158	356
159	366
160	363
161	343
162	380
163	335
164	342
165	356
166	314
167	343
168	358
169	368
170	359
171	342
172	339
173	314
174	356
175	370
176	351
177	314
178	365
179	364
180	356
181	346
182	359
183	341
184	319
185	362
186	324
187	350
188	333
189	382
190	347
191	341
192	345
193	364
194	328
195	342
196	337
197	330
198	359
199	365
200	353
201	353
202	364
203	362
204	336
205	350
206	378
207	366
208	357
209	360
210	324
211	360
212	384
213	364
214	360
215	379
216	353
