path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_35deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=3, tm_mday=27, tm_hour=14, tm_min=55, tm_sec=51, tm_wday=2, tm_yday=86, tm_isdst=-1)
real_time	400.48
live_time	374.52

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	46
9	72
10	219
11	314
12	283
13	346
14	295
15	326
16	312
17	349
18	348
19	357
20	333
21	315
22	351
23	362
24	368
25	371
26	381
27	426
28	499
29	475
30	535
31	591
32	689
33	718
34	839
35	897
36	904
37	931
38	872
39	855
40	805
41	768
42	737
43	716
44	686
45	700
46	689
47	687
48	616
49	694
50	614
51	659
52	674
53	670
54	656
55	786
56	740
57	751
58	743
59	764
60	809
61	777
62	762
63	771
64	750
65	723
66	796
67	745
68	745
69	757
70	702
71	741
72	754
73	703
74	726
75	706
76	741
77	778
78	686
79	758
80	778
81	754
82	745
83	792
84	783
85	799
86	786
87	844
88	854
89	869
90	914
91	928
92	968
93	862
94	895
95	912
96	940
97	875
98	800
99	854
100	795
101	841
102	745
103	753
104	700
105	679
106	604
107	669
108	594
109	489
110	494
111	514
112	477
113	449
114	427
115	392
116	413
117	399
118	382
119	384
120	359
121	361
122	351
123	338
124	381
125	321
126	312
127	366
128	327
129	289
130	325
131	291
132	295
133	294
134	290
135	295
136	289
137	306
138	269
139	280
140	271
141	246
142	254
143	299
144	295
145	299
146	293
147	262
148	269
149	257
150	259
151	270
152	271
153	266
154	255
155	228
156	257
157	270
158	239
159	252
160	253
161	236
162	254
163	272
164	263
165	228
166	232
167	236
168	243
169	233
170	206
171	245
172	245
173	213
174	257
175	222
176	210
177	261
178	231
179	247
180	228
181	246
182	230
183	223
184	202
185	217
186	212
187	207
188	197
189	212
190	205
191	210
192	211
193	224
194	190
195	167
196	201
197	177
198	167
199	181
200	185
201	157
202	170
203	174
204	194
205	179
206	168
207	203
208	154
209	169
210	176
211	163
212	134
213	172
214	183
215	174
216	143
217	148
218	153
219	158
220	153
221	148
222	156
223	161
224	160
225	153
226	156
227	182
228	145
229	148
230	152
231	170
232	169
233	168
234	153
235	187
236	179
237	174
238	192
239	212
240	176
241	204
242	206
243	184
244	193
245	197
246	204
247	212
248	199
249	234
250	213
251	216
252	206
253	212
254	218
255	202
256	203
257	215
258	199
259	247
260	224
261	214
262	226
263	259
264	242
265	231
266	263
267	239
268	270
269	291
270	266
271	294
272	309
273	292
274	279
275	339
276	315
277	372
278	366
279	353
280	366
281	416
282	427
283	456
284	435
285	466
286	461
287	522
288	514
289	506
290	577
291	529
292	520
293	595
294	534
295	561
296	565
297	539
298	525
299	535
300	485
301	517
302	501
303	526
304	450
305	457
306	428
307	415
308	416
309	359
310	344
311	320
312	260
313	280
314	256
315	238
316	213
317	200
318	201
319	162
320	149
321	148
322	132
323	127
324	81
325	88
326	79
327	91
328	70
329	61
330	49
331	64
332	49
333	40
334	35
335	37
336	26
337	16
338	31
339	28
340	22
341	20
342	26
343	22
344	24
345	19
346	15
347	18
348	14
349	21
350	10
351	15
352	18
353	12
354	14
355	10
356	12
357	15
358	12
359	15
360	15
361	10
362	13
363	14
364	10
365	14
366	16
367	10
368	11
369	9
370	12
371	12
372	8
373	4
374	7
375	8
376	11
377	10
378	11
379	10
380	11
381	10
382	7
383	8
384	7
385	6
386	4
387	8
