path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_45deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=14, tm_min=1, tm_sec=52, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.56
live_time	362.04

Channel	Counts
0	0
1	0
2	2
3	0
4	0
5	0
6	0
7	1
8	64
9	105
10	306
11	349
12	358
13	387
14	380
15	376
16	449
17	441
18	461
19	466
20	441
21	399
22	449
23	460
24	413
25	479
26	468
27	503
28	519
29	574
30	628
31	738
32	790
33	975
34	1030
35	1207
36	1217
37	1256
38	1209
39	1143
40	969
41	912
42	861
43	805
44	724
45	714
46	718
47	683
48	666
49	642
50	683
51	590
52	650
53	680
54	665
55	682
56	723
57	660
58	692
59	676
60	665
61	701
62	763
63	779
64	700
65	710
66	710
67	719
68	717
69	655
70	667
71	659
72	708
73	685
74	689
75	650
76	653
77	598
78	602
79	627
80	621
81	594
82	620
83	548
84	588
85	614
86	608
87	607
88	550
89	582
90	567
91	600
92	623
93	626
94	542
95	630
96	540
97	588
98	574
99	571
100	522
101	518
102	507
103	487
104	511
105	544
106	515
107	495
108	476
109	503
110	475
111	536
112	504
113	482
114	461
115	469
116	460
117	440
118	432
119	433
120	484
121	402
122	438
123	475
124	449
125	421
126	412
127	413
128	406
129	420
130	412
131	439
132	384
133	420
134	404
135	390
136	400
137	401
138	397
139	369
140	355
141	370
142	365
143	391
144	351
145	361
146	351
147	366
148	349
149	377
150	389
151	365
152	369
153	366
154	365
155	368
156	340
157	373
158	364
159	350
160	329
161	340
162	383
163	334
164	337
165	338
166	357
167	337
168	347
169	327
170	315
171	335
172	333
173	305
174	336
175	340
176	311
177	338
178	306
179	325
180	339
181	322
182	304
183	342
184	320
185	307
186	291
187	294
188	314
189	307
190	284
191	310
192	260
193	308
194	287
195	333
196	311
197	305
198	279
199	299
200	297
201	291
202	304
203	267
204	315
205	333
206	311
207	323
208	297
209	324
210	293
211	301
212	305
213	318
214	280
215	302
216	314
217	345
218	335
219	307
220	321
221	315
222	337
223	340
224	335
225	301
226	347
227	356
228	350
229	334
230	324
231	323
232	356
233	373
234	346
235	375
236	344
237	400
238	369
239	344
240	353
241	401
242	378
243	408
244	418
245	456
246	430
247	467
248	449
249	463
250	475
251	471
252	497
253	545
254	532
255	538
256	536
257	575
258	567
259	577
260	544
261	641
262	623
263	618
264	616
265	604
266	579
267	581
268	576
269	606
270	584
271	600
272	517
273	529
274	520
275	512
276	452
277	455
278	431
279	394
280	366
281	380
282	333
283	303
284	310
285	310
286	249
287	251
288	221
289	231
290	179
291	196
292	169
293	154
294	160
295	142
296	157
297	140
298	151
299	129
300	132
301	94
302	134
303	106
304	124
305	113
306	97
307	116
308	111
309	98
310	119
311	123
312	106
313	112
314	103
315	105
316	102
317	130
318	102
319	145
320	107
321	123
322	133
323	125
324	108
325	149
326	170
327	152
328	182
329	147
330	184
331	205
332	196
333	196
334	216
335	201
336	187
337	210
338	184
339	230
340	212
341	233
342	227
343	204
344	203
345	213
346	247
347	237
348	229
349	223
350	249
351	217
352	249
353	209
354	198
355	206
356	172
357	160
358	157
359	195
360	141
361	155
362	108
363	129
364	116
365	106
366	92
367	107
368	96
369	96
370	80
371	65
372	61
373	67
374	60
375	60
376	42
377	46
378	38
379	38
380	32
381	35
382	32
383	34
384	22
385	25
386	19
387	15
388	23
389	15
390	14
391	12
392	11
393	6
394	15
395	9
396	9
397	6
398	8
399	10
400	4
401	4
402	4
