path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_37deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=27, tm_sec=34, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.6
live_time	320.86

Channel	Counts
0	0
1	1
2	1
3	0
4	0
5	0
6	0
7	0
8	157
9	244
10	768
11	872
12	868
13	928
14	931
15	1028
16	1111
17	1118
18	1177
19	1073
20	1088
21	1074
22	1031
23	1033
24	1071
25	1075
26	1145
27	1130
28	1209
29	1292
30	1505
31	1733
32	1942
33	2303
34	2718
35	2946
36	3026
37	3080
38	2989
39	2814
40	2481
41	2197
42	2025
43	1970
44	1832
45	1835
46	1612
47	1511
48	1410
49	1400
50	1337
51	1311
52	1339
53	1359
54	1423
55	1429
56	1348
57	1416
58	1434
59	1443
60	1428
61	1451
62	1383
63	1483
64	1445
65	1415
66	1448
67	1415
68	1388
69	1458
70	1491
71	1421
72	1423
73	1464
74	1351
75	1497
76	1467
77	1480
78	1359
79	1553
80	1495
81	1547
82	1521
83	1549
84	1632
85	1651
86	1566
87	1789
88	1754
89	1736
90	1753
91	1836
92	1809
93	1838
94	1901
95	1917
96	1892
97	1878
98	1886
99	1800
100	1819
101	1719
102	1697
103	1573
104	1512
105	1481
106	1461
107	1411
108	1303
109	1334
110	1222
111	1196
112	1171
113	1163
114	1114
115	1109
116	1118
117	1080
118	1036
119	1084
120	1070
121	1015
122	1015
123	979
124	983
125	1030
126	951
127	993
128	932
129	922
130	935
131	950
132	945
133	911
134	906
135	898
136	968
137	943
138	899
139	918
140	877
141	926
142	849
143	884
144	903
145	873
146	882
147	864
148	845
149	896
150	839
151	848
152	885
153	865
154	845
155	853
156	825
157	860
158	857
159	884
160	868
161	833
162	839
163	802
164	872
165	825
166	848
167	875
168	778
169	772
170	847
171	825
172	816
173	809
174	836
175	812
176	785
177	832
178	817
179	811
180	859
181	819
182	858
183	863
184	806
185	835
186	766
187	766
188	747
189	749
190	747
191	769
192	791
193	772
194	790
195	814
196	779
197	779
198	774
199	787
200	776
201	793
202	778
203	786
204	758
205	754
206	763
207	799
208	791
209	754
210	708
211	736
212	786
213	782
214	706
215	822
216	758
217	765
218	720
219	732
220	760
221	753
222	729
223	782
224	771
225	744
226	769
227	755
228	791
229	773
230	771
231	761
232	751
233	772
234	782
235	748
236	731
237	771
238	728
239	729
240	797
241	746
242	739
243	734
244	747
245	762
246	711
247	700
248	723
249	733
250	671
251	719
252	703
253	711
254	657
255	694
256	663
257	709
258	699
259	667
260	657
261	714
262	678
263	640
264	664
265	699
266	687
267	695
268	723
269	684
270	735
271	746
272	761
273	759
274	780
275	811
276	741
277	807
278	871
279	864
