
_column0	_column1
-0.100606875043	0.0
1.695944465	3.14855764067
3.49249580505	6.27838875646
5.2890471451	0.0
7.08559848515	0.0
8.8821498252	0.0
10.6787011652	0.0
12.4752525053	0.0
14.2718038453	599.125810608
16.0683551854	937.610908548
17.8649065254	2704.0360456
19.6614578655	3256.50245866
21.4580092055	3129.67875238
23.2545605456	3143.7322667
25.0511118856	3281.73251498
26.8476632257	3639.15697003
28.6442145657	3698.65085434
30.4407659058	3849.10143548
32.2373172458	3903.09305083
34.0338685859	3941.19096786
35.8304199259	3671.76474402
37.626971266	3484.28038894
39.423522606	3368.40747059
41.2200739461	3397.13288862
43.0166252861	3285.10345149
44.8131766261	3299.31333636
46.6097279662	3397.11919261
48.4062793062	3676.05775307
50.2028306463	3607.08927647
51.9993819863	3937.79643951
53.7959333264	4336.28813567
55.5924846664	5278.88092046
57.3890360065	6091.85841573
59.1855873465	7221.41416655
60.9821386866	8309.65315708
62.7786900266	9170.98143497
64.5752413667	9859.11064983
66.3717927067	9664.75858215
68.1683440468	9246.4667483
69.9648953868	8465.86597833
71.7614467269	7483.58204675
73.5579980669	6849.7909027
75.354549407	6314.5336378
77.151100747	5964.80710842
78.9476520871	5358.03428492
80.7442034271	5000.10047397
82.5407547671	4646.4057851
84.3373061072	4429.93280309
86.1338574472	3995.23703622
87.9304087873	3859.60919932
89.7269601273	3692.28659131
91.5235114674	3682.7692627
93.3200628074	3729.14278772
95.1166141475	3820.21514468
96.9131654875	3868.6834918
98.7097168276	3918.69495836
100.506268168	3878.99485728
102.302819508	4194.73306454
104.099370848	4165.64405599
105.895922188	4252.19580293
107.692473528	4268.65714561
109.489024868	4106.80128195
111.285576208	4234.57521952
113.082127548	4409.90508648
114.878678888	4472.50887919
116.675230228	4306.93338153
118.471781568	4409.4033647
120.268332908	4338.39043439
122.064884248	4373.84532107
123.861435588	4243.02737905
125.657986928	4403.99361348
127.454538268	4435.08891535
129.251089608	4367.29200739
131.047640948	4466.05187846
132.844192288	4462.31414238
134.640743629	4602.01367878
136.437294969	4565.14780112
138.233846309	4640.72576968
140.030397649	4418.04051178
141.826948989	4814.80483286
143.623500329	4807.65588485
145.420051669	4921.90127836
147.216603009	4917.78265699
149.013154349	4955.71878418
150.809705689	4946.17699715
152.606257029	5169.27027435
154.402808369	5199.79411196
156.199359709	5343.28511565
157.995911049	5495.32398516
159.792462389	5335.69773041
161.589013729	5614.2152522
163.385565069	5766.3429125
165.182116409	5744.31514573
166.978667749	5779.42709588
168.775219089	5893.26212045
170.571770429	6320.38162792
172.36832177	6055.40794026
174.16487311	6192.40496899
175.96142445	6116.44853175
177.75797579	6251.54316399
179.55452713	6079.68228421
181.35107847	6142.76646286
183.14762981	6080.71370776
184.94418115	6147.1732213
186.74073249	5823.98394393
188.53728383	5817.68066656
190.33383517	5916.47541174
192.13038651	5814.20634023
193.92693785	5663.72725571
195.72348919	5684.36691712
197.52004053	5660.22379252
199.31659187	5814.35806975
201.11314321	5658.15266735
202.90969455	5496.24936195
204.70624589	5407.06796174
206.50279723	5609.59342766
208.29934857	5447.55110988
210.095899911	5547.97865268
211.892451251	5540.19933452
213.689002591	5415.42729542
215.485553931	5427.81063302
217.282105271	5436.10738566
219.078656611	5567.64935592
220.875207951	5299.19099668
222.671759291	5278.21064025
224.468310631	5598.30847248
226.264861971	5268.76711826
228.061413311	5424.93429323
229.857964651	5390.89716965
231.654515991	5413.91970951
233.451067331	5538.02626995
235.247618671	5424.84935232
237.044170011	5359.79431537
238.840721351	5361.84892194
240.637272691	5444.38081876
242.433824031	5619.54934827
244.230375371	5324.73860223
246.026926711	5521.29143437
247.823478052	5337.28158569
249.620029392	5492.33341065
251.416580732	5488.49016508
253.213132072	5646.23921022
255.009683412	5491.55639933
256.806234752	5638.26614596
258.602786092	5520.15825998
260.399337432	5403.70776385
262.195888772	5632.49422569
263.992440112	5587.49141836
265.788991452	5490.43859819
267.585542792	5568.7601134
269.382094132	5503.65495936
271.178645472	5582.81347583
272.975196812	5710.44377437
274.771748152	5735.24066067
276.568299492	5691.35199667
278.364850832	5577.43950298
280.161402172	5575.25078863
281.957953512	5815.10375496
283.754504852	5688.69093614
285.551056193	5916.10227342
287.347607533	5679.17316775
289.144158873	5847.91803038
290.940710213	5788.40237114
292.737261553	6010.84831441
294.533812893	5890.61573815
296.330364233	5905.46298361
298.126915573	6067.3879036
299.923466913	6015.74059316
301.720018253	6134.86994934
303.516569593	6213.5922572
305.313120933	6184.17879836
307.109672273	6073.32462557
308.906223613	6288.15159075
310.702774953	6207.24857491
312.499326293	5987.60524775
314.295877633	6118.53841871
316.092428973	6093.81879144
317.888980313	6443.05094412
319.685531653	6028.53252488
321.482082993	6150.13569956
323.278634334	6352.81135972
325.075185674	6160.93367112
326.871737014	6440.4416328
328.668288354	6558.73975025
330.464839694	6638.46916888
332.261391034	6664.04533133
334.057942374	6547.15446241
335.854493714	6629.6811031
337.651045054	6564.27064065
339.447596394	6630.05990785
341.244147734	6582.81682429
343.040699074	6690.78963918
344.837250414	6633.83111945
346.633801754	6990.3960858
348.430353094	7032.76854702
350.226904434	6754.58048552
352.023455774	6895.31785377
353.820007114	7074.23200849
355.616558454	6992.45581432
357.413109794	7352.36606219
359.209661134	6931.97018364
361.006212475	7349.64960011
362.802763815	7268.40467048
364.599315155	7340.5591056
366.395866495	7408.49230936
368.192417835	7447.96612333
369.988969175	7601.78828082
371.785520515	7556.64687804
373.582071855	7665.63293345
375.378623195	7671.53918291
377.175174535	7188.0839079
378.971725875	7694.87431911
380.768277215	7593.64427351
382.564828555	7788.35354339
384.361379895	7588.2257536
386.157931235	7931.51968828
387.954482575	7715.8548719
389.751033915	8032.25065989
391.547585255	7979.10148593
393.344136595	7969.77248694
395.140687935	8037.06635852
396.937239275	8225.33043861
398.733790616	8304.98653565
400.530341956	8577.85031968
402.326893296	7925.18588633
404.123444636	8101.95371537
405.919995976	8247.30612395
407.716547316	8321.6539483
409.513098656	8710.12636063
411.309649996	8322.32283545
413.106201336	8660.80901556
414.902752676	8994.45927191
416.699304016	8579.45705588
418.495855356	8800.15351126
420.292406696	8636.4399056
422.088958036	8867.95570655
423.885509376	8881.08597804
