path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_42deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=45, tm_sec=15, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.78000000000003
live_time	343.1

Channel	Counts
0	0
1	0
2	2
3	0
4	0
5	0
6	0
7	0
8	118
9	134
10	383
11	500
12	509
13	508
14	466
15	545
16	552
17	638
18	611
19	652
20	555
21	567
22	544
23	606
24	570
25	581
26	600
27	628
28	591
29	679
30	784
31	996
32	1062
33	1277
34	1375
35	1559
36	1686
37	1738
38	1620
39	1438
40	1334
41	1200
42	1103
43	1063
44	964
45	934
46	867
47	967
48	793
49	732
50	729
51	756
52	726
53	787
54	763
55	818
56	827
57	800
58	836
59	809
60	816
61	842
62	837
63	840
64	818
65	851
66	842
67	877
68	780
69	830
70	759
71	778
72	799
73	806
74	777
75	723
76	765
77	736
78	747
79	734
80	708
81	764
82	794
83	785
84	748
85	714
86	768
87	776
88	687
89	736
90	716
91	713
92	721
93	714
94	710
95	760
96	669
97	731
98	707
99	737
100	723
101	672
102	699
103	628
104	662
105	703
106	659
107	642
108	637
109	607
110	604
111	617
112	644
113	616
114	593
115	629
116	592
117	538
118	569
119	569
120	556
121	531
122	607
123	534
124	525
125	560
126	541
127	582
128	535
129	534
130	507
131	539
132	536
133	474
134	510
135	510
136	491
137	505
138	520
139	465
140	486
141	509
142	539
143	498
144	535
145	462
146	487
147	488
148	496
149	489
150	435
151	476
152	471
153	478
154	436
155	512
156	472
157	489
158	469
159	480
160	443
161	465
162	454
163	508
164	455
165	497
166	452
167	417
168	439
169	453
170	475
171	458
172	480
173	442
174	415
175	430
176	438
177	433
178	418
179	446
180	418
181	403
182	404
183	461
184	420
185	416
186	433
187	418
188	420
189	405
190	392
191	406
192	408
193	399
194	390
195	448
196	408
197	394
198	414
199	415
200	446
201	376
202	404
203	442
204	411
205	415
206	362
207	407
208	403
209	375
210	440
211	404
212	376
213	396
214	387
215	413
216	413
217	441
218	415
219	393
220	406
221	441
222	402
223	395
224	445
225	415
226	387
227	454
228	416
229	392
230	425
231	400
232	411
233	434
234	414
235	422
236	428
237	424
238	410
239	444
240	461
241	443
242	415
243	438
244	421
245	417
246	440
247	402
248	416
249	453
250	437
251	453
252	485
253	498
254	471
255	491
256	489
257	465
258	498
259	518
260	535
261	612
262	585
263	546
264	589
265	597
266	636
267	589
268	614
269	631
270	610
271	634
272	668
273	695
274	637
275	655
276	647
277	631
278	622
279	620
280	596
281	556
282	601
283	578
284	534
285	501
286	502
287	503
288	444
289	468
290	416
291	433
292	382
293	392
294	325
295	306
296	327
297	281
298	265
299	276
300	264
301	311
302	245
303	221
304	234
305	220
306	202
307	183
308	214
309	205
310	215
311	212
312	218
313	214
314	221
315	243
316	227
317	223
318	219
319	256
320	299
321	255
322	296
323	282
324	332
325	326
326	323
327	336
328	362
329	361
330	382
331	412
332	404
333	446
334	427
335	459
336	450
337	453
338	487
339	480
340	447
341	481
342	511
343	520
344	521
345	532
346	486
347	505
348	494
349	518
350	507
351	474
352	491
353	430
354	468
355	431
356	407
357	374
358	403
359	354
360	351
361	334
362	285
363	310
364	304
365	296
366	230
367	267
368	204
369	202
370	180
371	199
372	144
373	144
374	144
375	137
376	117
377	90
378	94
379	92
380	78
381	65
382	60
383	42
384	44
385	45
386	36
387	32
388	30
389	23
390	16
391	28
392	21
393	16
394	20
395	11
396	15
397	7
398	9
399	9
400	9
401	5
402	2
403	5
404	7
405	4
406	6
407	5
408	5
409	3
410	6
411	4
412	8
413	3
414	6
415	7
416	1
417	5
418	5
419	4
420	4
421	3
422	1
423	5
424	7
425	7
426	5
427	4
428	6
429	8
430	1
431	4
432	7
433	4
434	6
435	4
436	2
437	5
438	2
439	6
440	7
441	3
442	6
443	5
444	3
445	6
446	4
447	7
448	4
449	7
450	5
451	3
452	5
453	5
454	3
455	1
456	9
457	4
458	6
459	3
460	4
461	5
462	4
463	1
464	6
465	5
466	2
467	5
468	2
469	4
470	5
471	5
472	3
473	4
474	7
475	1
476	3
477	2
478	4
479	4
480	3
481	5
482	4
483	4
484	0
485	4
486	3
487	4
488	7
489	4
490	1
491	3
492	4
493	1
494	4
495	6
496	2
497	4
498	9
499	6
500	10
501	1
502	8
503	7
504	2
505	5
506	3
507	6
508	3
509	9
510	1
511	6
512	4
513	4
514	4
515	7
516	3
517	4
518	7
519	4
520	1
521	3
522	4
523	4
524	4
525	5
526	5
527	3
528	3
529	1
530	2
531	2
532	2
533	5
534	4
535	1
536	3
537	2
538	4
539	3
540	4
541	2
542	2
543	2
544	6
545	4
546	2
547	4
548	5
549	4
550	2
551	5
552	2
553	5
554	2
555	2
556	4
557	3
558	2
559	3
560	0
561	1
562	2
563	1
564	4
565	2
566	3
567	2
568	2
569	2
570	1
571	1
572	1
573	2
574	1
575	3
576	4
577	5
578	4
579	1
580	1
581	4
582	4
583	6
584	3
585	4
586	3
587	5
588	3
589	2
590	4
591	2
592	4
593	3
594	5
595	1
596	4
597	4
598	3
599	3
600	2
601	4
602	6
603	4
604	2
605	0
606	7
607	4
608	1
609	0
610	2
611	2
612	3
613	0
614	5
615	5
616	3
617	3
618	4
619	2
620	5
621	2
622	0
623	4
624	1
625	2
626	5
627	3
628	4
629	6
630	5
631	2
632	2
633	2
634	0
635	4
636	3
637	2
638	5
639	1
640	1
641	0
642	3
643	3
644	3
645	4
646	1
647	4
648	7
649	1
650	3
651	2
652	3
653	6
654	2
655	1
656	0
657	1
658	3
659	1
660	2
661	2
662	2
663	3
664	1
665	1
666	6
667	2
668	0
669	3
670	2
671	0
672	1
673	2
674	0
675	1
676	4
677	1
678	3
679	5
680	0
681	2
682	2
683	3
684	3
685	4
686	1
687	3
688	3
689	2
690	1
691	2
692	1
693	0
694	0
695	5
696	2
697	4
698	0
699	4
700	4
701	0
702	2
703	3
704	0
705	0
706	1
