path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_35deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=3, tm_mday=27, tm_hour=15, tm_min=2, tm_sec=50, tm_wday=2, tm_yday=86, tm_isdst=-1)
real_time	400.5
live_time	370.7

Channel	Counts
0	0
1	2
2	1
3	0
4	0
5	0
6	0
7	0
8	27
9	57
10	121
11	152
12	161
13	171
14	155
15	178
16	175
17	194
18	200
19	207
20	195
21	210
22	231
23	214
24	217
25	270
26	295
27	294
28	310
29	340
30	367
31	411
32	482
33	452
34	560
35	597
36	648
37	612
38	608
39	610
40	587
41	513
42	473
43	502
44	498
45	526
46	476
47	468
48	490
49	472
50	477
51	483
52	485
53	504
54	537
55	521
56	492
57	532
58	554
59	574
60	578
61	557
62	578
63	594
64	587
65	603
66	563
67	571
68	538
69	541
70	559
71	582
72	578
73	572
74	543
75	538
76	594
77	506
78	539
79	543
80	606
81	546
82	558
83	637
84	600
85	599
86	632
87	618
88	618
89	639
90	666
91	701
92	695
93	672
94	697
95	677
96	663
97	658
98	685
99	644
100	609
101	659
102	570
103	523
104	495
105	470
106	408
107	412
108	338
109	305
110	333
111	321
112	271
113	256
114	218
115	241
116	225
117	226
118	204
119	214
120	186
121	184
122	189
123	164
124	167
125	179
126	141
127	172
128	161
129	154
130	154
131	155
132	157
133	148
134	135
135	137
136	154
137	144
138	142
139	146
140	138
141	119
142	123
143	133
144	133
145	119
146	127
147	132
148	119
149	118
150	120
151	120
152	107
153	118
154	124
155	123
156	103
157	103
158	115
159	109
160	107
161	108
162	109
163	96
164	97
165	109
166	128
167	106
168	93
169	101
170	97
171	108
172	107
173	107
174	97
175	113
176	102
177	100
178	104
179	112
180	112
181	91
182	79
183	102
184	95
185	91
186	93
187	106
188	105
189	112
190	105
191	105
192	94
193	96
194	117
195	94
196	101
197	101
198	85
199	88
200	94
201	92
202	120
203	100
204	89
205	90
206	101
207	92
208	100
209	89
210	92
211	105
212	77
213	95
214	86
215	110
216	94
217	95
218	95
219	85
220	102
221	94
222	98
223	102
224	98
225	89
226	90
227	103
228	103
229	107
230	112
231	100
232	102
233	113
234	124
235	119
236	136
237	111
238	134
239	122
240	153
241	132
242	113
243	160
244	154
245	135
246	145
247	142
248	164
249	140
250	152
251	147
252	150
253	167
254	167
255	174
256	143
257	164
258	175
259	124
260	131
261	138
262	149
263	148
264	148
265	154
266	151
267	149
268	137
269	126
270	133
271	140
272	128
273	106
274	118
275	136
276	123
277	114
278	88
279	92
280	102
281	92
282	127
283	103
284	92
285	81
286	85
287	95
288	76
289	83
290	92
291	88
292	87
293	81
294	79
295	92
296	80
297	82
298	68
299	62
300	80
301	73
302	66
303	72
304	52
305	73
306	62
307	79
308	69
309	55
310	34
311	46
312	52
313	51
314	40
315	34
316	39
317	35
318	50
319	50
320	34
321	36
322	34
323	37
324	37
325	36
326	29
327	20
328	25
329	31
330	29
331	36
332	21
333	24
334	21
335	23
336	16
337	14
338	20
339	22
340	21
341	19
342	17
343	27
344	7
345	22
346	13
347	13
348	18
349	17
350	11
351	14
352	21
353	14
354	18
355	18
356	24
357	20
358	9
359	15
360	10
361	9
362	7
363	17
364	18
365	8
366	11
367	3
368	7
369	8
370	11
371	11
372	11
373	8
374	3
375	8
376	7
377	8
378	8
379	10
380	12
381	8
382	5
383	10
384	9
385	11
386	3
387	7
388	11
389	4
390	3
391	3
392	6
393	5
394	7
395	4
396	10
397	7
398	4
399	12
400	2
401	6
402	5
403	6
404	6
405	6
406	7
407	1
408	3
409	8
410	6
411	6
412	8
413	3
414	6
415	5
416	8
417	3
418	7
419	3
420	9
421	9
422	8
423	9
424	5
425	7
426	4
427	6
428	7
429	2
430	10
431	5
432	6
433	8
434	6
435	12
436	5
437	5
438	9
439	6
440	3
441	5
442	7
443	6
